Iout_real,SOC,Uout_real,K_0 (const),Uout_real – K_0,U_out_mean (const),Uout_real – U_out_mean (x),U_out_variance (const),standard deviation (const),normal distribution,,,,,,,for R_k,
0.01,14.9849805555556,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,,,,,,
-0.01,14.9849777777778,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9849777777778,51.19,42.759,8.431,6.420024,2.010976,1.483424,1.21795894840508,0.000467,,,,,,,,
-0.01,14.984975,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.984975,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.984975,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.984975,51.16,42.759,8.401,6.420024,1.980976,1.483424,1.21795894840508,0.000427,,,,,,,,
0,14.984975,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849722222222,51.16,42.759,8.401,6.420024,1.980976,1.483424,1.21795894840508,0.000427,,,,,,,,
0.01,14.984975,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,,,,,,
0,14.984975,51.19,42.759,8.431,6.420024,2.010976,1.483424,1.21795894840508,0.000467,,,,,,,,
-0.01,14.9849722222222,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849694444444,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849666666667,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9849666666667,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,,,,,,
-0.01,14.9849638888889,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849611111111,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9849611111111,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849583333333,51.15,42.759,8.391,6.420024,1.970976,1.483424,1.21795894840508,0.000415,,,,,,,,
-0.01,14.9849555555555,51.19,42.759,8.431,6.420024,2.010976,1.483424,1.21795894840508,0.000467,,,,,,,,
-0.01,14.9849527777778,51.19,42.759,8.431,6.420024,2.010976,1.483424,1.21795894840508,0.000467,,,,,,,,
-15.1,14.9807583333333,48.42,42.759,5.661,6.420024,0.759023999999998,1.483424,1.21795894840508,0.000007,,,,,,,,
-15.1,14.9765638888889,47.98,42.759,5.221,6.420024,1.199024,1.483424,1.21795894840508,0.000034,,,,,,,,
-15.1,14.9723694444444,47.71,42.759,4.951,6.420024,1.469024,1.483424,1.21795894840508,0.000085,,,,,,,,
-15.1,14.968175,47.56,42.759,4.801,6.420024,1.619024,1.483424,1.21795894840508,0.000138,,,,,,,,
-15.1,14.9639805555555,47.49,42.759,4.731,6.420024,1.689024,1.483424,1.21795894840508,0.000173,,,,,,,,
-15.1,14.9597861111111,47.46,42.759,4.701,6.420024,1.719024,1.483424,1.21795894840508,0.000191,,,,,,,,
-15.09,14.9555944444444,47.45,42.759,4.691,6.420024,1.729024,1.483424,1.21795894840508,0.000197,,,,,,,,
-15.1,14.9514,47.38,42.759,4.621,6.420024,1.799024,1.483424,1.21795894840508,0.000245,,,,,,,,
-15.1,14.9472055555555,47.4,42.759,4.641,6.420024,1.779024,1.483424,1.21795894840508,0.000230,,,,,,,,
-15.09,14.9430138888889,47.41,42.759,4.651,6.420024,1.769024,1.483424,1.21795894840508,0.000223,,,,,,,,
-0.01,14.9430111111111,49.51,42.759,6.751,6.420024,0.330975999999998,1.483424,1.21795894840508,0.000001,,,,,,,,
-0.01,14.9430083333333,49.75,42.759,6.991,6.420024,0.570976,1.483424,1.21795894840508,0.000003,,,,,,,,
-0.03,14.943,49.84,42.759,7.081,6.420024,0.660976000000003,1.483424,1.21795894840508,0.000005,,,,,,,,
0,14.943,49.98,42.759,7.221,6.420024,0.800975999999997,1.483424,1.21795894840508,0.000008,,,,,,,,
-0.01,14.9429972222222,50.03,42.759,7.271,6.420024,0.850976000000001,1.483424,1.21795894840508,0.000009,,,,,,,,
-0.01,14.9429944444444,50.09,42.759,7.331,6.420024,0.910976000000003,1.483424,1.21795894840508,0.000012,,,,,,,,
-0.01,14.9429916666667,50.13,42.759,7.371,6.420024,0.950976000000003,1.483424,1.21795894840508,0.000014,,,,,,,,
-0.01,14.9429888888889,50.19,42.759,7.431,6.420024,1.010976,1.483424,1.21795894840508,0.000017,,,,,,,,
-0.01,14.9429861111111,50.22,42.759,7.461,6.420024,1.040976,1.483424,1.21795894840508,0.000019,,,,,,,,
-0.01,14.9429833333333,50.27,42.759,7.511,6.420024,1.090976,1.483424,1.21795894840508,0.000023,,,,,,,,
-0.01,14.9429805555555,50.3,42.759,7.541,6.420024,1.120976,1.483424,1.21795894840508,0.000025,,,,,,,,
-0.01,14.9429777777778,50.31,42.759,7.551,6.420024,1.130976,1.483424,1.21795894840508,0.000026,,,,,,,,
0.01,14.9429805555555,50.37,42.759,7.611,6.420024,1.190976,1.483424,1.21795894840508,0.000033,,,,,,,,
0,14.9429805555555,50.36,42.759,7.601,6.420024,1.180976,1.483424,1.21795894840508,0.000031,,,,,,,,
0,14.9429805555555,50.41,42.759,7.651,6.420024,1.230976,1.483424,1.21795894840508,0.000037,,,,,,,,
0,14.9429805555555,50.4,42.759,7.641,6.420024,1.220976,1.483424,1.21795894840508,0.000036,,,,,,,,
0,14.9429805555555,50.41,42.759,7.651,6.420024,1.230976,1.483424,1.21795894840508,0.000037,,,,,,,,
-0.01,14.9429777777778,50.43,42.759,7.671,6.420024,1.250976,1.483424,1.21795894840508,0.000040,,,,,,,,
0,14.9429777777778,50.46,42.759,7.701,6.420024,1.280976,1.483424,1.21795894840508,0.000045,,,,,,,,
0,14.9429777777778,50.46,42.759,7.701,6.420024,1.280976,1.483424,1.21795894840508,0.000045,,,,,,,,
0,14.9429777777778,50.49,42.759,7.731,6.420024,1.310976,1.483424,1.21795894840508,0.000049,,,,,,,,
0,14.9429777777778,50.49,42.759,7.731,6.420024,1.310976,1.483424,1.21795894840508,0.000049,,,,,,,,
0,14.9429777777778,50.52,42.759,7.761,6.420024,1.340976,1.483424,1.21795894840508,0.000055,,,,,,,,
0,14.9429777777778,50.52,42.759,7.761,6.420024,1.340976,1.483424,1.21795894840508,0.000055,,,,,,,,
0,14.9429777777778,50.53,42.759,7.771,6.420024,1.350976,1.483424,1.21795894840508,0.000057,,,,,,,,
