Ibat,SOC,Ubat,,,,
4.8,4.95797777777779,24.1,,,,
4.8,4.95931111111112,24.12,,,,
0.01,4.9593138888889,23.17,,,,
0,4.9593138888889,23.09,,,,
0,4.9593138888889,23.06,,,,
0,4.9593138888889,23.04,,,,
0,4.9593138888889,23.01,,,,
0.01,4.95931666666668,23,,,,
-0.01,4.9593138888889,22.98,,,,
0.01,4.95931666666668,22.99,,,,
0,4.95931666666668,22.96,,,,
0.01,4.95931944444445,22.96,,,,
-0.01,4.95931666666668,22.95,,,,
0,4.95931666666668,22.94,,,,
0,4.95931666666668,22.92,,,,
0.01,4.95931944444445,22.93,,,,
-0.01,4.95931666666668,22.92,,,,
0,4.95931666666668,22.9,,,,
0,4.95931666666668,22.9,,,,
0,4.95931666666668,22.89,,,,
0,4.95931666666668,22.89,,,,
0,4.95931666666668,22.89,,,,
0,4.95931666666668,22.89,,,,
-0.01,4.9593138888889,22.89,,,,
-0.01,4.95931111111112,22.87,,,,
0,4.95931111111112,22.87,,,,
0.01,4.9593138888889,22.88,,,,
0,4.9593138888889,22.87,,,,
-0.01,4.95931111111112,22.87,,,,
-0.01,4.95930833333334,22.86,,,,
-0.01,4.95930555555557,22.86,,,,
-0.01,4.95930277777779,22.86,,,,
0,4.95930277777779,22.86,,,,
0,4.95930277777779,22.86,,,,
-0.01,4.95930000000001,22.84,,,,
0,4.95930000000001,22.86,,,,
-0.01,4.95929722222223,22.86,,,,
-0.01,4.95929444444446,22.84,,,,
-0.01,4.95929166666668,22.84,,,,
-0.01,4.9592888888889,22.83,,,,
-0.01,4.95928611111112,22.86,,,,
-0.01,4.95928333333335,22.84,,,,
0,4.95928333333335,22.85,,,,
0,4.95928333333335,22.84,,,,
0,4.95928333333335,22.84,,,,
-0.01,4.95928055555557,22.84,,,,
0,4.95928055555557,22.85,,,,
-0.01,4.95927777777779,22.84,,,,
-0.01,4.95927500000001,22.84,,,,
-0.01,4.95927222222224,22.83,,,,
-0.03,4.9592638888889,22.83,,,,
-0.01,4.95926111111112,22.83,,,,
-0.01,4.95925833333335,22.83,,,,
-0.01,4.95925555555557,22.83,,,,
-0.01,4.95925277777779,22.83,,,,
-0.01,4.95925000000001,22.84,,,,
-0.01,4.95924722222224,22.83,,,,
0,4.95924722222224,22.85,,,,
0.01,4.95925000000001,22.84,,,,
0,4.95925000000001,22.83,,,,
-0.03,4.95924166666668,22.82,,,,
0,4.95924166666668,22.84,,,,
0,4.95924166666668,22.84,,,,
-0.01,4.9592388888889,22.83,,,,
0,4.9592388888889,22.83,,,,
-0.01,4.95923611111112,22.83,,,,
-0.01,4.95923333333335,22.83,,,,
-0.01,4.95923055555557,22.81,,,,
0,4.95923055555557,22.81,,,,
-0.01,4.95922777777779,22.83,,,,
0,4.95922777777779,22.83,,,,
-0.01,4.95922500000001,22.83,,,,
0,4.95922500000001,22.82,,,,
0,4.95922500000001,22.83,,,,
0,4.95922500000001,22.83,,,,
-0.01,4.95922222222224,22.81,,,,
-0.01,4.95921944444446,22.83,,,,
-0.01,4.95921666666668,22.81,,,,
0,4.95921666666668,22.83,,,,
0,4.95921666666668,22.81,,,,
-0.01,4.9592138888889,22.81,,,,
0,4.9592138888889,22.82,,,,
-0.01,4.95921111111113,22.83,,,,
-0.01,4.95920833333335,22.81,,,,
0,4.95920833333335,22.81,,,,
-0.01,4.95920555555557,22.81,,,,
-0.01,4.95920277777779,22.81,,,,
-0.01,4.95920000000002,22.81,,,,
-0.01,4.95919722222224,22.81,,,,
-0.01,4.95919444444446,22.81,,,,
-0.01,4.95919166666668,22.83,,,,
-0.01,4.95918888888891,22.81,,,,
-0.01,4.95918611111113,22.83,,,,
0,4.95918611111113,22.82,,,,
0,4.95918611111113,22.82,,,,
-0.01,4.95918333333335,22.81,,,,
-0.01,4.95918055555557,22.81,,,,
0,4.95918055555557,22.81,,,,
-0.01,4.9591777777778,22.81,,,,
0.01,4.95918055555557,22.82,,,,
0,4.95918055555557,22.82,,,,
0,4.95918055555557,22.82,,,,
0,4.95918055555557,22.81,,,,
0.01,4.95918333333335,22.82,,,,
0,4.95918333333335,22.81,,,,
0,4.95918333333335,22.81,,,,
0,4.95918333333335,22.81,,,,
-0.01,4.95918055555557,22.81,,,,
0,4.95918055555557,22.81,,,,
0,4.95918055555557,22.81,,,,
0,4.95918055555557,22.83,,,,
0,4.95918055555557,22.81,,,,
0.01,4.95918333333335,22.81,,,,
0,4.95918333333335,22.81,,,,
-0.01,4.95918055555557,22.81,,,,
-0.01,4.9591777777778,22.81,,,,
0,4.9591777777778,22.81,,,,
