N,Time_N,Iout,Ibat,I3,Uout,Ubat,U3,Tcase,Error,State,Message,Flag,Manual,Trim,Relay,Input,Ndigits_AB,Tdigits_AB,N_KAN,Reg_1000_n,Uout_n,Iout_n,Mode_n,Uset_n,Iset_n,Uab_n,Uac_n,Ubc_n,T_n,Work_KAN,F_CAP_SUM_KIP,T_KKM1_HAWK,T_KKM2_HAWK,T_CASE_HAWK,T_AIR_HAWK,RELAY_STATE
2285,2023-06-04T14:00:48.668Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2286,2023-06-04T14:00:49.660Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2287,2023-06-04T14:00:50.663Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2288,2023-06-04T14:00:51.660Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2289,2023-06-04T14:00:52.658Z,0,-0.01,0,0,22.35,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2290,2023-06-04T14:00:53.660Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2291,2023-06-04T14:00:54.656Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2292,2023-06-04T14:00:55.657Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,21,22.6,21.3,1
2293,2023-06-04T14:00:56.658Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2294,2023-06-04T14:00:57.660Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2295,2023-06-04T14:00:58.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2296,2023-06-04T14:00:59.660Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2297,2023-06-04T14:01:00.656Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2298,2023-06-04T14:01:01.665Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.4,1
2299,2023-06-04T14:01:02.661Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2300,2023-06-04T14:01:03.660Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2301,2023-06-04T14:01:04.657Z,0,-0.01,0,0,22.35,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2302,2023-06-04T14:01:05.668Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2303,2023-06-04T14:01:06.664Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2304,2023-06-04T14:01:07.660Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2305,2023-06-04T14:01:08.668Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2306,2023-06-04T14:01:09.660Z,0,-0.01,0,0,22.35,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2307,2023-06-04T14:01:10.659Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2308,2023-06-04T14:01:11.665Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2309,2023-06-04T14:01:12.657Z,0,-0.01,0,0,22.35,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2310,2023-06-04T14:01:13.665Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2311,2023-06-04T14:01:14.659Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2312,2023-06-04T14:01:15.660Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2313,2023-06-04T14:01:16.668Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2314,2023-06-04T14:01:17.664Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,22,22.6,21.3,1
2315,2023-06-04T14:01:18.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,21,22,22.6,21.3,1
2316,2023-06-04T14:01:19.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,21,21,22.6,21.3,1
2317,2023-06-04T14:01:20.659Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,22,22.6,21.3,1
2318,2023-06-04T14:01:21.669Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,21,21,22.6,21.3,1
2319,2023-06-04T14:01:22.658Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0,Off,29,3,242,0,0,22.6,1,0,21,21,22.6,21.3,1
2320,2023-06-04T14:01:23.664Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2321,2023-06-04T14:01:24.656Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2322,2023-06-04T14:01:25.665Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0,Off,29,3,243,0,0,22.6,1,0,21,22,22.6,21.3,1
2323,2023-06-04T14:01:26.659Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2324,2023-06-04T14:01:27.667Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2325,2023-06-04T14:01:28.657Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2326,2023-06-04T14:01:29.660Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2327,2023-06-04T14:01:30.668Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.4,1
2328,2023-06-04T14:01:31.652Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,22,22.6,21.3,1
2329,2023-06-04T14:01:32.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,21,21,22.6,21.3,1
2330,2023-06-04T14:01:33.661Z,0,-0.01,0,0,22.35,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,22,22.6,21.3,1
2331,2023-06-04T14:01:34.661Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2332,2023-06-04T14:01:35.662Z,0,-0.01,0,0,22.35,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2333,2023-06-04T14:01:36.664Z,0,-0.01,0,0,22.35,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,21,22.6,21.3,1
2334,2023-06-04T14:01:37.660Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,21,22.6,21.3,1
2335,2023-06-04T14:01:38.664Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,21,21,22.6,21.3,1
2336,2023-06-04T14:01:39.660Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,21,22.6,21.3,1
2337,2023-06-04T14:01:40.658Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2338,2023-06-04T14:01:41.661Z,0,0,0,0,22.36,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2339,2023-06-04T14:01:42.662Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2340,2023-06-04T14:01:43.660Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2341,2023-06-04T14:01:44.663Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.4,1
2342,2023-06-04T14:01:45.662Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2343,2023-06-04T14:01:46.663Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2344,2023-06-04T14:01:47.660Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.4,1
2345,2023-06-04T14:01:48.658Z,0,-0.01,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.4,1
2346,2023-06-04T14:01:49.661Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2347,2023-06-04T14:01:50.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2348,2023-06-04T14:01:51.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2349,2023-06-04T14:01:52.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.4,1
2350,2023-06-04T14:01:53.661Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2351,2023-06-04T14:01:54.662Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2352,2023-06-04T14:01:55.667Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2353,2023-06-04T14:01:56.664Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2354,2023-06-04T14:01:57.661Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2355,2023-06-04T14:01:58.658Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0,Off,29,3,241,0,0,22.6,1,0,22,21,22.6,21.3,1
2356,2023-06-04T14:01:59.660Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,21,21,22.6,21.3,1
2357,2023-06-04T14:02:00.656Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,22,22.6,21.4,1
2358,2023-06-04T14:02:01.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,21,22.6,21.3,1
2359,2023-06-04T14:02:02.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,21,22.6,21.4,1
2360,2023-06-04T14:02:03.660Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,22,22.6,21.4,1
2361,2023-06-04T14:02:04.668Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,21,22.6,21.4,1
2362,2023-06-04T14:02:05.661Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,21,22,22.6,21.3,1
2363,2023-06-04T14:02:06.658Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,21,21,22.6,21.4,1
2364,2023-06-04T14:02:07.661Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,22,22.6,21.3,1
2365,2023-06-04T14:02:08.656Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,240,0,0,22.6,1,0,22,21,22.6,21.3,1
2366,2023-06-04T14:02:09.660Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2367,2023-06-04T14:02:10.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,22,22,22.6,21.3,1
2368,2023-06-04T14:02:11.660Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,241,0,0,22.6,1,0,21,21,22.6,21.3,1
2369,2023-06-04T14:02:12.676Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2370,2023-06-04T14:02:13.669Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2371,2023-06-04T14:02:14.658Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2372,2023-06-04T14:02:15.667Z,0,0,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2373,2023-06-04T14:02:16.663Z,0,-0.03,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2374,2023-06-04T14:02:17.661Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2375,2023-06-04T14:02:18.659Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2376,2023-06-04T14:02:19.661Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2377,2023-06-04T14:02:20.668Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,22,21,22.6,21.3,1
2378,2023-06-04T14:02:21.657Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,243,0,0,22.6,1,0,21,21,22.6,21.3,1
2379,2023-06-04T14:02:22.658Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,3,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2380,2023-06-04T14:02:23.660Z,0,-0.03,0,0,22.38,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,4,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,22,21,22.6,21.3,1
2381,2023-06-04T14:02:24.659Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Iвых. почти макс.!,On,Avto,3,112,60,1,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,21,21,22.6,21.4,1
2382,2023-06-04T14:02:25.658Z,0,-0.01,0,0,22.37,-0.01,2260,Ошибок нет!,RELAX_30m,Разбаланс батареи,On,Avto,3,112,60,2,nan,0 - respond,0,0.04,0.01,Off,29,3,242,0,0,22.6,1,0,21,21,22.6,21.4,1
