N,I_Real,SOC,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear,squared_Err_non_linear,SOC,,,,,,
3496,-0.23,0.714268,25.11,25.2739,24.8009,76.7725,61.2613,-176008,-221977,0.16392,0.0268697664,0.714268,,,,,,
3497,-0.28,0.714267,25.11,25.2718,24.799,76.7725,61.2613,-176008,-221975,0.161816,0.026184417856,0.714267,,,,,,
3498,-0.28,0.714266,25.1,25.2718,24.7992,76.7724,61.3362,-175906,-221874,0.171807,0.029517645249,0.714266,,,,,,
3499,-0.23,0.714265,25.11,25.2739,24.8016,76.7724,61.2613,-175905,-221872,0.163893,0.026860915449,0.714265,,,,,,
3500,-0.28,0.714264,25.11,25.2718,24.7997,76.7724,61.2613,-176007,-221972,0.16179,0.0261760041,0.714264,,,,,,
3501,-0.23,0.714263,25.12,25.2739,24.802,76.7723,61.1863,-175905,-221870,0.153876,0.023677823376,0.714263,,,,,,
3502,-0.23,0.714262,25.11,25.2739,24.8023,76.7723,61.2613,-176006,-221970,0.163869,0.026853049161,0.714262,,,,,,
3503,-0.23,0.714262,25.12,25.2739,24.8025,76.7723,61.1863,-176006,-221969,0.153861,0.023673207321,0.714262,,,,,,
3504,-0.23,0.714261,25.12,25.2739,24.8028,76.7723,61.1863,-176006,-221968,0.153853,0.023670745609,0.714261,,,,,,
3505,-0.33,0.714259,25.1,25.2697,24.7988,76.7722,61.3362,-176006,-221967,0.169655,0.028782819025,0.714259,,,,,,
3506,-0.23,0.714259,25.12,25.2738,24.8032,76.7722,61.1863,-175802,-221764,0.153834,0.023664899556,0.714259,,,,,,
3507,-0.23,0.714258,25.11,25.2738,24.8034,76.7722,61.2613,-176005,-221965,0.163827,0.026839285929,0.714258,,,,,,
3508,-0.18,0.714257,25.12,25.2759,24.8058,76.7722,61.1863,-176005,-221964,0.155913,0.024308863569,0.714257,,,,,,
3509,-0.17,0.714256,25.14,25.2763,24.8065,76.7721,61.0367,-176107,-222064,0.136327,0.018585050929,0.714256,,,,,,
3510,-0.28,0.714255,25.11,25.2717,24.8021,76.7721,61.2613,-176127,-222083,0.161711,0.026150447521,0.714255,,,,,,
3511,-0.23,0.714255,25.11,25.2738,24.8044,76.7721,61.2613,-175903,-221860,0.163798,0.026829784804,0.714255,,,,,,
3512,-0.23,0.714254,25.11,25.2738,24.8046,76.7721,61.2613,-176004,-221960,0.16379,0.0268271641,0.714254,,,,,,
3513,-0.23,0.714253,25.11,25.2738,24.8049,76.772,61.2613,-176004,-221959,0.163783,0.026824871089,0.714253,,,,,,
3514,-0.23,0.714252,25.12,25.2738,24.8051,76.772,61.1863,-176004,-221958,0.153775,0.023646750625,0.714252,,,,,,
3515,-0.23,0.714251,25.11,25.2738,24.8053,76.772,61.2613,-176004,-221957,0.163767,0.026819630289,0.714251,,,,,,
3516,-0.23,0.71425,25.11,25.2738,24.8056,76.7719,61.2613,-176003,-221956,0.16376,0.0268173376,0.71425,,,,,,
3517,-0.23,0.714249,25.12,25.2738,24.8058,76.7719,61.1863,-176003,-221955,0.153752,0.023639677504,0.714249,,,,,,
3518,-0.18,0.714249,25.11,25.2758,24.8081,76.7719,61.2613,-176003,-221954,0.165839,0.027502573921,0.714249,,,,,,
3519,-0.23,0.714248,25.12,25.2737,24.8063,76.7719,61.1863,-176105,-222054,0.153739,0.023635680121,0.714248,,,,,,
3520,-0.23,0.714247,25.12,25.2737,24.8065,76.7718,61.1863,-176003,-221952,0.153731,0.023633220361,0.714247,,,,,,
3521,-0.28,0.714246,25.1,25.2716,24.8046,76.7718,61.3362,-176002,-221951,0.171627,0.029455827129,0.714246,,,,,,
3522,-0.23,0.714245,25.12,25.2737,24.807,76.7718,61.1863,-175900,-221849,0.153714,0.023627993796,0.714245,,,,,,
3523,-0.23,0.714244,25.12,25.2737,24.8072,76.7718,61.1863,-176002,-221948,0.153706,0.023625534436,0.714244,,,,,,
3524,-0.23,0.714244,25.11,25.2737,24.8074,76.7717,61.2613,-176002,-221947,0.163699,0.026797362601,0.714244,,,,,,
3525,-0.23,0.714243,25.11,25.2737,24.8077,76.7717,61.2613,-176002,-221946,0.163691,0.026794743481,0.714243,,,,,,
3526,-0.23,0.714242,25.11,25.2737,24.8079,76.7717,61.2613,-176001,-221945,0.163684,0.026792451856,0.714242,,,,,,
3527,-0.23,0.714241,25.12,25.2737,24.8081,76.7717,61.1863,-176001,-221944,0.153676,0.023616312976,0.714241,,,,,,
3528,-0.18,0.71424,25.11,25.2758,24.8104,76.7716,61.2613,-176001,-221943,0.165763,0.027477372169,0.71424,,,,,,
3529,-0.23,0.714239,25.11,25.2737,24.8086,76.7716,61.2613,-176103,-222043,0.163663,0.026785577569,0.714239,,,,,,
3530,-0.28,0.714238,25.11,25.2716,24.8067,76.7716,61.2613,-176001,-221941,0.161559,0.026101310481,0.714238,,,,,,
3531,-0.23,0.714238,25.11,25.2736,24.809,76.7715,61.2613,-175899,-221839,0.163645,0.026779686025,0.714238,,,,,,
3532,-0.23,0.714237,25.11,25.2736,24.8093,76.7715,61.2613,-176000,-221939,0.163638,0.026777395044,0.714237,,,,,,
3533,-0.23,0.714236,25.12,25.2736,24.8095,76.7715,61.1863,-176000,-221938,0.15363,0.0236021769,0.714236,,,,,,
3534,-0.23,0.714235,25.13,25.2736,24.8097,76.7715,61.1115,-176000,-221937,0.143623,0.020627566129,0.714235,,,,,,
3535,-0.18,0.714234,25.12,25.2757,24.8121,76.7714,61.1863,-175999,-221936,0.155707,0.024244669849,0.714234,,,,,,
3536,-0.23,0.714233,25.12,25.2736,24.8102,76.7714,61.1863,-176101,-222036,0.153607,0.023595110449,0.714233,,,,,,
3537,-0.23,0.714233,25.11,25.2736,24.8104,76.7714,61.2613,-175999,-221934,0.1636,0.02676496,0.714233,,,,,,
3538,-0.23,0.714232,25.11,25.2736,24.8107,76.7714,61.2613,-175999,-221933,0.163592,0.026762342464,0.714232,,,,,,
3539,-0.28,0.714231,25.11,25.2715,24.8088,76.7713,61.2613,-175999,-221932,0.161488,0.026078374144,0.714231,,,,,,
3540,-0.23,0.71423,25.11,25.2736,24.8111,76.7713,61.2613,-175897,-221830,0.163575,0.026756780625,0.71423,,,,,,
3541,-0.23,0.714229,25.11,25.2736,24.8113,76.7713,61.2613,-175998,-221930,0.163567,0.026754163489,0.714229,,,,,,
3542,-0.28,0.714228,25.11,25.2715,24.8095,76.7713,61.2613,-175998,-221929,0.161465,0.026070946225,0.714228,,,,,,
3543,-0.23,0.714227,25.11,25.2736,24.8118,76.7712,61.2613,-175896,-221827,0.163552,0.026749256704,0.714227,,,,,,
3544,-0.23,0.714226,25.12,25.2735,24.812,76.7712,61.1863,-175998,-221927,0.153542,0.023575145764,0.714226,,,,,,
3545,-0.12,0.714226,25.14,25.2781,24.8169,76.7712,61.0367,-175997,-221926,0.138143,0.019083488449,0.714226,,,,,,
3546,-0.23,0.714225,25.12,25.2735,24.8125,76.7711,61.1863,-176221,-222147,0.153531,0.023571767961,0.714225,,,,,,
3547,-0.23,0.714224,25.12,25.2735,24.8127,76.7711,61.1863,-175997,-221924,0.153523,0.023569311529,0.714224,,,,,,
3548,-0.23,0.714223,25.12,25.2735,24.813,76.7711,61.1863,-175997,-221923,0.153516,0.023567162256,0.714223,,,,,,
3549,-0.23,0.714222,25.11,25.2735,24.8132,76.7711,61.2613,-175997,-221922,0.163508,0.026734866064,0.714222,,,,,,
3550,-0.28,0.714221,25.11,25.2714,24.8113,76.771,61.2613,-175996,-221921,0.161404,0.026051251216,0.714221,,,,,,
3551,-0.18,0.714221,25.12,25.2756,24.8157,76.771,61.1863,-175894,-221819,0.155585,0.024206692225,0.714221,,,,,,
3552,-0.18,0.71422,25.12,25.2756,24.816,76.771,61.1863,-176098,-222020,0.155579,0.024204825241,0.71422,,,,,,
3553,-0.18,0.714219,25.12,25.2756,24.8162,76.771,61.1863,-176098,-222019,0.155574,0.024203269476,0.714219,,,,,,
3554,-0.23,0.714219,25.11,25.2735,24.8143,76.7709,61.2613,-176097,-222018,0.163474,0.026723748676,0.714219,,,,,,
3555,-0.23,0.714218,25.11,25.2735,24.8146,76.7709,61.2613,-175995,-221916,0.163466,0.026721133156,0.714218,,,,,,
3556,-0.18,0.714217,25.11,25.2756,24.8169,76.7709,61.2613,-175995,-221915,0.165553,0.027407795809,0.714217,,,,,,
3557,-0.23,0.714216,25.12,25.2735,24.815,76.7709,61.1863,-176097,-222014,0.153453,0.023547823209,0.714216,,,,,,
3558,-0.23,0.714215,25.11,25.2734,24.8152,76.7708,61.2613,-175995,-221913,0.163445,0.026714268025,0.714215,,,,,,
3559,-0.18,0.714215,25.11,25.2755,24.8176,76.7708,61.2613,-175995,-221912,0.165532,0.027400843024,0.714215,,,,,,
3560,-0.23,0.714214,25.11,25.2734,24.8157,76.7708,61.2613,-176096,-222011,0.163432,0.026710018624,0.714214,,,,,,
3561,-0.18,0.714213,25.12,25.2755,24.818,76.7708,61.1863,-175994,-221910,0.155517,0.024185537289,0.714213,,,,,,
3562,-0.23,0.714212,25.11,25.2734,24.8161,76.7707,61.2613,-176096,-222009,0.163417,0.026705115889,0.714212,,,,,,
3563,-0.23,0.714211,25.12,25.2734,24.8164,76.7707,61.1863,-175994,-221907,0.153409,0.023534321281,0.714211,,,,,,
3564,-0.23,0.714211,25.11,25.2734,24.8166,76.7707,61.2613,-175994,-221906,0.163401,0.026699886801,0.714211,,,,,,
3565,-0.23,0.71421,25.12,25.2734,24.8168,76.7707,61.1863,-175993,-221905,0.153394,0.023529719236,0.71421,,,,,,
3566,-0.18,0.714209,25.12,25.2755,24.8191,76.7706,61.1863,-175993,-221904,0.15548,0.0241740304,0.714209,,,,,,
3567,-0.23,0.714208,25.12,25.2734,24.8173,76.7706,61.1863,-176095,-222004,0.15338,0.0235254244,0.714208,,,,,,
3568,-0.23,0.714207,25.12,25.2734,24.8175,76.7706,61.1863,-175993,-221902,0.153373,0.023523277129,0.714207,,,,,,
3569,-0.23,0.714206,25.11,25.2734,24.8177,76.7705,61.2613,-175993,-221901,0.163365,0.026688123225,0.714206,,,,,,
3570,-0.23,0.714206,25.11,25.2734,24.818,76.7705,61.2613,-175992,-221900,0.163357,0.026685509449,0.714206,,,,,,
3571,-0.23,0.714205,25.12,25.2733,24.8182,76.7705,61.1863,-175992,-221899,0.15335,0.0235162225,0.714205,,,,,,
3572,-0.23,0.714204,25.12,25.2733,24.8184,76.7705,61.1863,-175992,-221898,0.153342,0.023513768964,0.714204,,,,,,
3573,-0.23,0.714203,25.12,25.2733,24.8186,76.7704,61.1863,-175992,-221897,0.153334,0.023511315556,0.714203,,,,,,
3574,-0.23,0.714202,25.12,25.2733,24.8189,76.7704,61.1863,-175992,-221896,0.153327,0.023509168929,0.714202,,,,,,
3575,-0.28,0.714201,25.11,25.2712,24.817,76.7704,61.2613,-175991,-221895,0.161223,0.025992855729,0.714201,,,,,,
3576,-0.23,0.7142,25.12,25.2733,24.8193,76.7704,61.1863,-175889,-221793,0.15331,0.0235039561,0.7142,,,,,,
3577,-0.23,0.714199,25.12,25.2733,24.8195,76.7703,61.1863,-175991,-221893,0.153302,0.023501503204,0.714199,,,,,,
3578,-0.23,0.714199,25.11,25.2733,24.8198,76.7703,61.2613,-175991,-221892,0.163294,0.026664930436,0.714199,,,,,,
3579,-0.23,0.714198,25.12,25.2733,24.82,76.7703,61.1863,-175990,-221891,0.153287,0.023496904369,0.714198,,,,,,
3580,-0.23,0.714197,25.12,25.2733,24.8202,76.7703,61.1863,-175990,-221890,0.153279,0.023494451841,0.714197,,,,,,
3581,-0.23,0.714196,25.11,25.2733,24.8204,76.7702,61.2613,-175990,-221889,0.163272,0.026657745984,0.714196,,,,,,
3582,-0.23,0.714195,25.12,25.2733,24.8207,76.7702,61.1863,-175990,-221888,0.153264,0.023489853696,0.714195,,,,,,
3583,-0.28,0.714194,25.11,25.2712,24.8188,76.7702,61.2613,-175990,-221887,0.16116,0.0259725456,0.714194,,,,,,
3584,-0.23,0.714193,25.12,25.2732,24.8211,76.7701,61.1863,-175888,-221785,0.153247,0.023484643009,0.714193,,,,,,
3585,-0.28,0.714192,25.12,25.2711,24.8192,76.7701,61.1863,-175989,-221885,0.151143,0.022844206449,0.714192,,,,,,
3586,-0.23,0.714191,25.12,25.2732,24.8216,76.7701,61.1863,-175887,-221783,0.15323,0.0234794329,0.714191,,,,,,
3587,-0.18,0.714191,25.12,25.2753,24.8239,76.7701,61.1863,-175989,-221883,0.155316,0.024123059856,0.714191,,,,,,
3588,-0.28,0.71419,25.11,25.2711,24.8199,76.77,61.2613,-176090,-221983,0.16112,0.0259596544,0.71419,,,,,,
3589,-0.23,0.714189,25.12,25.2732,24.8222,76.77,61.1863,-175887,-221780,0.153207,0.023472384849,0.714189,,,,,,
3590,-0.23,0.714188,25.13,25.2732,24.8225,76.77,61.1115,-175988,-221880,0.143199,0.020505953601,0.714188,,,,,,
3591,-0.23,0.714187,25.12,25.2732,24.8227,76.77,61.1863,-175988,-221878,0.153191,0.023467482481,0.714187,,,,,,
3592,-0.23,0.714186,25.11,25.2732,24.8229,76.7699,61.2613,-175988,-221877,0.163184,0.026629017856,0.714186,,,,,,
3593,-0.18,0.714186,25.11,25.2753,24.8252,76.7699,61.2613,-175987,-221876,0.16527,0.0273141729,0.714186,,,,,,
3594,-0.23,0.714185,25.13,25.2732,24.8233,76.7699,61.1115,-176089,-221976,0.14317,0.0204976489,0.714185,,,,,,
3595,-0.23,0.714184,25.12,25.2732,24.8236,76.7699,61.1863,-175987,-221874,0.153163,0.023458904569,0.714184,,,,,,
3596,-0.23,0.714183,25.11,25.2732,24.8238,76.7698,61.2613,-175987,-221873,0.163155,0.026619554025,0.714183,,,,,,
3597,-0.23,0.714182,25.12,25.2731,24.824,76.7698,61.1863,-175987,-221872,0.153148,0.023454309904,0.714182,,,,,,
3598,-0.23,0.714181,25.12,25.2731,24.8242,76.7698,61.1863,-175986,-221871,0.15314,0.0234518596,0.714181,,,,,,
3599,-0.23,0.714181,25.12,25.2731,24.8245,76.7697,61.1863,-175986,-221870,0.153132,0.023449409424,0.714181,,,,,,
3600,-0.23,0.71418,25.12,25.2731,24.8247,76.7697,61.1863,-175986,-221869,0.153125,0.023447265625,0.71418,,,,,,
3601,-0.18,0.714179,25.12,25.2752,24.827,76.7697,61.1863,-175986,-221868,0.155211,0.024090454521,0.714179,,,,,,
3602,-0.23,0.714178,25.12,25.2731,24.8251,76.7697,61.1863,-176087,-221968,0.153111,0.023442978321,0.714178,,,,,,
3603,-0.23,0.714177,25.12,25.2731,24.8254,76.7696,61.1863,-175985,-221866,0.153104,0.023440834816,0.714177,,,,,,
3604,-0.23,0.714176,25.12,25.2731,24.8256,76.7696,61.1863,-175985,-221865,0.153094,0.023437772836,0.714176,,,,,,
3605,-0.23,0.714176,25.12,25.2731,24.8258,76.7696,61.1863,-175985,-221864,0.153087,0.023435629569,0.714176,,,,,,
3606,-0.23,0.714175,25.12,25.2731,24.826,76.7696,61.1863,-175985,-221863,0.153079,0.023433180241,0.714175,,,,,,
3607,-0.23,0.714174,25.12,25.2731,24.8262,76.7695,61.1863,-175985,-221862,0.153071,0.023430731041,0.714174,,,,,,
3608,-0.23,0.714173,25.12,25.2731,24.8265,76.7695,61.1863,-175984,-221861,0.153064,0.023428588096,0.714173,,,,,,
3609,-0.23,0.714172,25.12,25.2731,24.8267,76.7695,61.1863,-175984,-221860,0.153056,0.023426139136,0.714172,,,,,,
3610,-0.23,0.714171,25.12,25.273,24.8269,76.7695,61.1863,-175984,-221859,0.153048,0.023423690304,0.714171,,,,,,
3611,-0.23,0.71417,25.11,25.273,24.8271,76.7694,61.2613,-175984,-221858,0.163041,0.026582367681,0.71417,,,,,,
3612,-0.28,0.714169,25.11,25.2709,24.8252,76.7694,61.2613,-175984,-221857,0.160937,0.025900717969,0.714169,,,,,,
3613,-0.18,0.714169,25.12,25.2751,24.8296,76.7694,61.1863,-175882,-221755,0.155118,0.024061593924,0.714169,,,,,,
3614,-0.18,0.714168,25.12,25.2751,24.8299,76.7693,61.1863,-176085,-221956,0.155112,0.024059732544,0.714168,,,,,,
3615,-0.28,0.714167,25.11,25.2709,24.8259,76.7693,61.2613,-176085,-221955,0.160916,0.025893959056,0.714167,,,,,,
3616,-0.18,0.714166,25.12,25.2751,24.8303,76.7693,61.1863,-175881,-221752,0.155097,0.024055079409,0.714166,,,,,,
3617,-0.23,0.714166,25.11,25.273,24.8284,76.7693,61.2613,-176084,-221953,0.162997,0.026568022009,0.714166,,,,,,
3618,-0.23,0.714165,25.12,25.273,24.8286,76.7692,61.1863,-175982,-221851,0.152989,0.023405634121,0.714165,,,,,,
3619,-0.23,0.714164,25.12,25.273,24.8289,76.7692,61.1863,-175982,-221850,0.152982,0.023403492324,0.714164,,,,,,
3620,-0.23,0.714163,25.12,25.273,24.8291,76.7692,61.1863,-175982,-221849,0.152974,0.023401044676,0.714163,,,,,,
3621,-0.28,0.714162,25.11,25.2709,24.8272,76.7692,61.2613,-175982,-221848,0.16087,0.0258791569,0.714162,,,,,,
3622,-0.23,0.714161,25.12,25.273,24.8295,76.7691,61.1863,-175880,-221746,0.152957,0.023395843849,0.714161,,,,,,
3623,-0.23,0.71416,25.12,25.2729,24.8297,76.7691,61.1863,-175981,-221846,0.152949,0.023393396601,0.71416,,,,,,
3624,-0.28,0.714159,25.12,25.2708,24.8279,76.7691,61.1863,-175981,-221845,0.150845,0.022754214025,0.714159,,,,,,
3625,-0.23,0.714158,25.12,25.2729,24.8302,76.7691,61.1863,-175879,-221743,0.152932,0.023388196624,0.714158,,,,,,
3626,-0.23,0.714157,25.12,25.2729,24.8304,76.769,61.1863,-175981,-221842,0.152924,0.023385749776,0.714157,,,,,,
3627,-0.23,0.714157,25.12,25.2729,24.8306,76.769,61.1863,-175980,-221841,0.152917,0.023383608889,0.714157,,,,,,
3628,-0.18,0.714156,25.12,25.275,24.8329,76.769,61.1863,-175980,-221840,0.155003,0.024025930009,0.714156,,,,,,
3629,-0.23,0.714155,25.12,25.2729,24.831,76.769,61.1863,-176082,-221940,0.152903,0.023379327409,0.714155,,,,,,
3630,-0.23,0.714154,25.12,25.2729,24.8313,76.7689,61.1863,-175980,-221838,0.152896,0.023377186816,0.714154,,,,,,
3631,-0.23,0.714153,25.12,25.2729,24.8315,76.7689,61.1863,-175980,-221837,0.152888,0.023374740544,0.714153,,,,,,
3632,-0.18,0.714153,25.12,25.275,24.8338,76.7689,61.1863,-175979,-221836,0.154975,0.024017250625,0.714153,,,,,,
3633,-0.23,0.714152,25.11,25.2729,24.8319,76.7688,61.2613,-176081,-221936,0.162875,0.026528265625,0.714152,,,,,,
3634,-0.18,0.714151,25.12,25.275,24.8342,76.7688,61.1863,-175979,-221834,0.154961,0.024012911521,0.714151,,,,,,
3635,-0.18,0.714151,25.12,25.275,24.8344,76.7688,61.1863,-176081,-221934,0.154954,0.024010742116,0.714151,,,,,,
3636,-0.23,0.71415,25.12,25.2729,24.8326,76.7688,61.1863,-176080,-221933,0.152854,0.023364345316,0.71415,,,,,,
3637,-0.23,0.714149,25.11,25.2728,24.8328,76.7687,61.2613,-175978,-221831,0.162846,0.026518819716,0.714149,,,,,,
3638,-0.23,0.714148,25.11,25.2728,24.833,76.7687,61.2613,-175978,-221830,0.162839,0.026516539921,0.714148,,,,,,
3639,-0.18,0.714147,25.12,25.2749,24.8353,76.7687,61.1863,-175978,-221829,0.154925,0.024001755625,0.714147,,,,,,
3640,-0.23,0.714146,25.11,25.2728,24.8334,76.7687,61.2613,-176080,-221929,0.162825,0.026511980625,0.714146,,,,,,
3641,-0.28,0.714145,25.12,25.2707,24.8315,76.7686,61.1863,-175978,-221827,0.150721,0.022716819841,0.714145,,,,,,
3642,-0.28,0.714144,25.11,25.2707,24.8317,76.7686,61.2613,-175876,-221725,0.160712,0.025828346944,0.714144,,,,,,
3643,-0.28,0.714143,25.11,25.2707,24.832,76.7686,61.2613,-175875,-221724,0.160704,0.025825775616,0.714143,,,,,,
3644,-0.23,0.714143,25.12,25.2728,24.8343,76.7686,61.1863,-175875,-221723,0.152789,0.023344478521,0.714143,,,,,,
3645,-0.28,0.714141,25.11,25.2707,24.8324,76.7685,61.2613,-175977,-221823,0.160687,0.025820311969,0.714141,,,,,,
3646,-0.18,0.714141,25.12,25.2749,24.8368,76.7685,61.1863,-175875,-221721,0.154866,0.023983477956,0.714141,,,,,,
3647,-0.23,0.71414,25.12,25.2728,24.8349,76.7685,61.1863,-176078,-221922,0.152766,0.023337450756,0.71414,,,,,,
3648,-0.28,0.714139,25.11,25.2707,24.833,76.7684,61.2613,-175976,-221820,0.160664,0.025812920896,0.714139,,,,,,
3649,-0.23,0.714138,25.12,25.2728,24.8353,76.7684,61.1863,-175874,-221718,0.152751,0.023332868001,0.714138,,,,,,
3650,-0.23,0.714137,25.12,25.2727,24.8355,76.7684,61.1863,-175976,-221818,0.152741,0.023329813081,0.714137,,,,,,
3651,-0.28,0.714136,25.11,25.2706,24.8337,76.7684,61.2613,-175975,-221817,0.160639,0.025804888321,0.714136,,,,,,
3652,-0.28,0.714135,25.11,25.2706,24.8339,76.7683,61.2613,-175873,-221715,0.16063,0.0258019969,0.714135,,,,,,
3653,-0.23,0.714134,25.13,25.2727,24.8362,76.7683,61.1115,-175873,-221714,0.142717,0.020368142089,0.714134,,,,,,
3654,-0.18,0.714134,25.12,25.2748,24.8385,76.7683,61.1863,-175975,-221813,0.154803,0.023963968809,0.714134,,,,,,
3655,-0.23,0.714133,25.12,25.2727,24.8366,76.7683,61.1863,-176076,-221913,0.152703,0.023318206209,0.714133,,,,,,
3656,-0.28,0.714132,25.11,25.2706,24.8347,76.7682,61.2613,-175974,-221811,0.160599,0.025792038801,0.714132,,,,,,
3657,-0.18,0.714131,25.11,25.2748,24.8391,76.7682,61.2613,-175872,-221710,0.164778,0.027151789284,0.714131,,,,,,
3658,-0.18,0.71413,25.12,25.2748,24.8393,76.7682,61.1863,-176076,-221910,0.154773,0.023954681529,0.71413,,,,,,
3659,-0.18,0.71413,25.12,25.2748,24.8395,76.7682,61.1863,-176075,-221909,0.154767,0.023952824289,0.71413,,,,,,
3660,-0.23,0.714129,25.12,25.2727,24.8377,76.7681,61.1863,-176075,-221908,0.152667,0.023307212889,0.714129,,,,,,
3661,-0.23,0.714128,25.12,25.2727,24.8379,76.7681,61.1863,-175973,-221806,0.152659,0.023304770281,0.714128,,,,,,
3662,-0.23,0.714127,25.12,25.2727,24.8381,76.7681,61.1863,-175973,-221805,0.152652,0.023302633104,0.714127,,,,,,
3663,-0.28,0.714126,25.12,25.2705,24.8362,76.768,61.1863,-175973,-221804,0.150548,0.022664700304,0.714126,,,,,,
3664,-0.17,0.714125,25.14,25.2751,24.841,76.768,61.0367,-175871,-221702,0.135148,0.018264981904,0.714125,,,,,,
3665,-0.23,0.714125,25.12,25.2726,24.8387,76.768,61.1863,-176095,-221923,0.152629,0.023295611641,0.714125,,,,,,
3666,-0.18,0.714124,25.12,25.2747,24.841,76.768,61.1863,-175972,-221801,0.154715,0.023936731225,0.714124,,,,,,
3667,-0.23,0.714123,25.12,25.2726,24.8392,76.7679,61.1863,-176074,-221901,0.152615,0.023291338225,0.714123,,,,,,
3668,-0.23,0.714122,25.12,25.2726,24.8394,76.7679,61.1863,-175972,-221799,0.152608,0.023289201664,0.714122,,,,,,
3669,-0.28,0.714121,25.11,25.2705,24.8375,76.7679,61.2613,-175972,-221798,0.160504,0.025761534016,0.714121,,,,,,
3670,-0.23,0.71412,25.12,25.2726,24.8398,76.7679,61.1863,-175870,-221696,0.152591,0.023284013281,0.71412,,,,,,
3671,-0.23,0.71412,25.12,25.2726,24.84,76.7678,61.1863,-175971,-221796,0.152583,0.023281571889,0.71412,,,,,,
3672,-0.23,0.714119,25.12,25.2726,24.8402,76.7678,61.1863,-175971,-221795,0.152575,0.023279130625,0.714119,,,,,,
3673,-0.23,0.714118,25.12,25.2726,24.8404,76.7678,61.1863,-175971,-221794,0.152568,0.023276994624,0.714118,,,,,,
3674,-0.18,0.714117,25.12,25.2747,24.8427,76.7678,61.1863,-175971,-221793,0.154654,0.023917859716,0.714117,,,,,,
3675,-0.28,0.714116,25.12,25.2705,24.8388,76.7677,61.1863,-176072,-221893,0.150458,0.022637609764,0.714116,,,,,,
3676,-0.23,0.714115,25.12,25.2725,24.8411,76.7677,61.1863,-175868,-221690,0.152545,0.023269977025,0.714115,,,,,,
3677,-0.18,0.714115,25.12,25.2746,24.8434,76.7677,61.1863,-175970,-221790,0.154631,0.023910746161,0.714115,,,,,,
3678,-0.28,0.714114,25.12,25.2704,24.8394,76.7677,61.1863,-176071,-221890,0.150435,0.022630689225,0.714114,,,,,,
3679,-0.23,0.714113,25.12,25.2725,24.8417,76.7676,61.1863,-175868,-221687,0.152522,0.023262960484,0.714113,,,,,,
3680,-0.18,0.714112,25.12,25.2746,24.844,76.7676,61.1863,-175969,-221787,0.154609,0.023903942881,0.714112,,,,,,
3681,-0.28,0.714111,25.11,25.2704,24.84,76.7676,61.2613,-176071,-221887,0.160412,0.025732009744,0.714111,,,,,,
3682,-0.18,0.71411,25.12,25.2746,24.8444,76.7675,61.1863,-175867,-221684,0.154593,0.023898995649,0.71411,,,,,,
3683,-0.28,0.714109,25.11,25.2704,24.8404,76.7675,61.2613,-176070,-221885,0.160397,0.025727197609,0.714109,,,,,,
3684,-0.28,0.714108,25.11,25.2704,24.8406,76.7675,61.2613,-175867,-221682,0.160388,0.025724310544,0.714108,,,,,,
3685,-0.18,0.714108,25.12,25.2746,24.845,76.7675,61.1863,-175866,-221681,0.154569,0.023891575761,0.714108,,,,,,
3686,-0.18,0.714107,25.12,25.2746,24.8452,76.7674,61.1863,-176070,-221882,0.154563,0.023889720969,0.714107,,,,,,
3687,-0.18,0.714106,25.12,25.2746,24.8454,76.7674,61.1863,-176070,-221881,0.154555,0.023887248025,0.714106,,,,,,
3688,-0.12,0.714106,25.14,25.2771,24.8482,76.7674,61.0367,-176069,-221880,0.137063,0.018786265969,0.714106,,,,,,
3689,-0.23,0.714105,25.12,25.2725,24.8438,76.7674,61.1863,-176191,-222000,0.152451,0.023241307401,0.714105,,,,,,
3690,-0.23,0.714104,25.12,25.2724,24.844,76.7673,61.1863,-175967,-221777,0.152444,0.023239173136,0.714104,,,,,,
3691,-0.23,0.714103,25.12,25.2724,24.8442,76.7673,61.1863,-175967,-221776,0.152436,0.023236734096,0.714103,,,,,,
3692,-0.28,0.714102,25.11,25.2703,24.8423,76.7673,61.2613,-175967,-221775,0.160332,0.025706350224,0.714102,,,,,,
3693,-0.28,0.714101,25.11,25.2703,24.8425,76.7673,61.2613,-175865,-221673,0.160325,0.025704105625,0.714101,,,,,,
3694,-0.23,0.7141,25.12,25.2724,24.8448,76.7672,61.1863,-175865,-221672,0.152411,0.023229112921,0.7141,,,,,,
3695,-0.23,0.714099,25.12,25.2724,24.845,76.7672,61.1863,-175966,-221771,0.152402,0.023226369604,0.714099,,,,,,
3696,-0.23,0.714099,25.12,25.2724,24.8452,76.7672,61.1863,-175966,-221770,0.152394,0.023223931236,0.714099,,,,,,
3697,-0.23,0.714098,25.12,25.2724,24.8454,76.7671,61.1863,-175966,-221769,0.152387,0.023221797769,0.714098,,,,,,
3698,-0.23,0.714097,25.12,25.2724,24.8456,76.7671,61.1863,-175966,-221768,0.152379,0.023219359641,0.714097,,,,,,
3699,-0.28,0.714096,25.11,25.2703,24.8437,76.7671,61.2613,-175965,-221767,0.160277,0.025688716729,0.714096,,,,,,
3700,-0.17,0.714095,25.14,25.2749,24.8486,76.7671,61.0367,-175863,-221665,0.134878,0.018192074884,0.714095,,,,,,
