N,I_Real,SOC,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear,squared_Err_non_linear,SOC,,,,,,
46,-0.28,0.998891,25.95,27.8321,26.0333,79.277,55.1785,-246145,-293964,1.88213,3.5424133369,0.998891,,,,,,
47,-0.28,0.99889,25.95,27.8321,26.0322,79.277,55.1785,-246247,-294063,1.88212,3.5423756944,0.99889,,,,,,
48,-0.64,0.998888,26,27.817,26.0169,79.277,54.8297,-246247,-294062,1.81703,3.3015980209,0.998888,,,,,,
49,-0.64,0.998885,26.02,27.817,26.0169,79.2769,54.6906,-245514,-293334,1.79701,3.2292449401,0.998885,,,,,,
50,-0.59,0.998883,26.02,27.8191,26.019,79.2769,54.6906,-245513,-293332,1.79908,3.2366888464,0.998883,,,,,,
51,-0.64,0.998881,26.02,27.817,26.0169,79.2768,54.6906,-245614,-293431,1.79697,3.2291011809,0.998881,,,,,,
52,-0.64,0.998878,26,27.8169,26.0167,79.2768,54.8297,-245512,-293329,1.81695,3.3013073025,0.998878,,,,,,
53,-0.64,0.998876,26.01,27.8169,26.0166,79.2767,54.7602,-245511,-293327,1.80693,3.2649960249,0.998876,,,,,,
54,-0.64,0.998873,26.01,27.8169,26.0166,79.2767,54.7602,-245511,-293325,1.80691,3.2649237481,0.998873,,,,,,
55,-0.64,0.998871,26.01,27.8169,26.0165,79.2766,54.7602,-245510,-293324,1.80689,3.2648514721,0.998871,,,,,,
56,-0.64,0.998869,26.01,27.8169,26.0164,79.2766,54.7602,-245510,-293322,1.80686,3.2647430596,0.998869,,,,,,
57,-0.69,0.998866,26,27.8147,26.0141,79.2766,54.8297,-245509,-293320,1.81474,3.2932812676,0.998866,,,,,,
58,-0.64,0.998864,26.01,27.8168,26.0162,79.2765,54.7602,-245407,-293218,1.80682,3.2645985124,0.998864,,,,,,
59,-0.69,0.998861,26.01,27.8147,26.014,79.2765,54.7602,-245508,-293317,1.8047,3.25694209,0.998861,,,,,,
60,-0.64,0.998859,26,27.8168,26.016,79.2764,54.8297,-245405,-293214,1.81677,3.3006532329,0.998859,,,,,,
