N,I_Real,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear
4092,0,50.39,50.2573,50.3304,50.4809,0.909444,50.2899,50.4856,0.100068
4093,0,50.39,50.2573,50.3304,50.4805,0.909444,50.2934,50.4885,0.096604
4094,0,50.41,50.2573,50.3304,50.4802,0.911795,50.2934,50.4888,0.116604
4095,0,50.39,50.2573,50.3304,50.4797,0.909444,50.2934,50.4878,0.096604
4096,0,50.37,50.2573,50.3305,50.4792,0.90709,50.2934,50.4867,0.076604
4097,0.01,50.41,50.2608,50.3339,50.4789,0.911795,50.2934,50.4875,0.116604
4098,0,50.39,50.2573,50.3305,50.4784,0.909444,50.2969,50.4899,0.0931364
4099,0,50.37,50.2573,50.3305,50.4779,0.90709,50.2934,50.4854,0.076604
4100,0,50.39,50.2573,50.3306,50.4775,0.909444,50.2934,50.4856,0.096604
4101,0,50.39,50.2573,50.3306,50.4771,0.909444,50.2934,50.4852,0.096604
4102,0,50.37,50.2573,50.3306,50.4766,0.90709,50.2934,50.4841,0.076604
4103,0,50.37,50.2573,50.3306,50.4761,0.90709,50.2934,50.4836,0.076604
4104,0,50.39,50.2573,50.3307,50.4757,0.909444,50.2934,50.4838,0.096604
4105,-0.01,50.39,50.2539,50.3272,50.4753,0.909444,50.2934,50.4834,0.096604
4106,0.01,50.39,50.2608,50.3341,50.4749,0.909444,50.2899,50.4797,0.100068
4107,0.01,50.39,50.2608,50.3342,50.4745,0.909444,50.2969,50.486,0.0931364
4108,0,50.37,50.2573,50.3307,50.4739,0.90709,50.2969,50.4849,0.0731364
4109,0,50.39,50.2573,50.3308,50.4735,0.909444,50.2934,50.4817,0.0966002
4110,0.01,50.39,50.2608,50.3342,50.4731,0.909444,50.2934,50.4814,0.0966002
4111,0,50.39,50.2573,50.3308,50.4727,0.909444,50.2969,50.4843,0.0931364
4112,0,50.37,50.2573,50.3308,50.4722,0.90709,50.2934,50.4799,0.0766002
4113,0.01,50.39,50.2608,50.3343,50.4718,0.909444,50.2934,50.4801,0.0966002
4114,0,50.39,50.2573,50.3309,50.4714,0.909444,50.2969,50.4831,0.0931326
4115,-0.01,50.37,50.2539,50.3275,50.471,0.90709,50.2934,50.4787,0.0765964
4116,-0.01,50.37,50.2539,50.3275,50.4705,0.90709,50.2899,50.4748,0.0800639
4117,-0.01,50.37,50.2539,50.3275,50.47,0.90709,50.2899,50.4744,0.0800677
4118,0,50.39,50.2573,50.331,50.4697,0.909444,50.2899,50.4746,0.100068
4119,0,50.37,50.2573,50.331,50.4692,0.90709,50.2934,50.4769,0.076604
4120,-0.01,50.37,50.2539,50.3275,50.4687,0.90709,50.2934,50.4765,0.076604
4121,-0.01,50.37,50.2539,50.3276,50.4683,0.90709,50.2899,50.4727,0.0800677
4122,-0.01,50.37,50.2539,50.3276,50.4678,0.90709,50.2899,50.4722,0.0800716
4123,0,50.37,50.2573,50.331,50.4674,0.90709,50.2899,50.4718,0.0800716
4124,0,50.37,50.2573,50.3311,50.4669,0.90709,50.2934,50.4747,0.0766078
4125,0,50.37,50.2573,50.3311,50.4665,0.90709,50.2934,50.4743,0.0766078
4126,-0.01,50.39,50.2539,50.3277,50.4661,0.909444,50.2934,50.4745,0.0966078
4127,0.01,50.39,50.2608,50.3346,50.4657,0.909444,50.2899,50.4708,0.100075
4128,0,50.37,50.2573,50.3311,50.4653,0.90709,50.2969,50.4765,0.0731441
4129,0,50.37,50.2573,50.3312,50.4648,0.90709,50.2934,50.4727,0.0766078
4130,0.01,50.39,50.2608,50.3346,50.4645,0.909444,50.2934,50.4729,0.0966078
4131,0,50.37,50.2573,50.3312,50.464,0.90709,50.2969,50.4752,0.0731403
4132,0,50.37,50.2573,50.3312,50.4635,0.90709,50.2934,50.4714,0.0766078
4133,0,50.37,50.2573,50.3312,50.4631,0.90709,50.2934,50.471,0.0766078
4134,0,50.39,50.2573,50.3313,50.4627,0.909444,50.2934,50.4713,0.0966078
4135,0.01,50.39,50.2608,50.3347,50.4624,0.909444,50.2934,50.4709,0.0966078
4136,0.01,50.39,50.2608,50.3348,50.462,0.909444,50.2969,50.4739,0.0931403
4137,-0.01,50.37,50.2539,50.3279,50.4616,0.90709,50.2969,50.4729,0.0731364
4138,-0.01,50.39,50.2539,50.3279,50.4612,0.909444,50.2899,50.4664,0.100068
4139,0,50.37,50.2573,50.3314,50.4608,0.90709,50.2899,50.4654,0.0800716
4140,0,50.37,50.2573,50.3314,50.4604,0.90709,50.2934,50.4684,0.0766078
4141,0.01,50.39,50.2608,50.3349,50.46,0.909444,50.2934,50.4686,0.0966078
4142,0,50.37,50.2573,50.3314,50.4596,0.90709,50.2969,50.471,0.0731403
4143,0.01,50.39,50.2608,50.3349,50.4593,0.909444,50.2934,50.4679,0.096604
4144,0,50.37,50.2573,50.3315,50.4588,0.90709,50.2969,50.4702,0.0731364
4145,0,50.37,50.2573,50.3315,50.4584,0.90709,50.2934,50.4664,0.076604
4146,0,50.36,50.2573,50.3315,50.4579,0.905913,50.2934,50.4657,0.066604
4147,-0.01,50.37,50.2539,50.3281,50.4575,0.90709,50.2934,50.4656,0.076604
4148,0.01,50.39,50.2608,50.335,50.4572,0.909444,50.2899,50.4625,0.100068
4149,0,50.39,50.2573,50.3316,50.4568,0.909444,50.2969,50.4689,0.0931364
4150,-0.01,50.39,50.2539,50.3281,50.4565,0.909444,50.2934,50.4652,0.096604
4151,-0.01,50.37,50.2539,50.3282,50.4561,0.90709,50.2899,50.4609,0.0800677
4152,-0.01,50.37,50.2539,50.3282,50.4557,0.90709,50.2899,50.4605,0.0800716
4153,-0.01,50.37,50.2539,50.3282,50.4553,0.90709,50.2899,50.4601,0.0800716
4154,-0.01,50.37,50.2539,50.3282,50.4549,0.90709,50.2899,50.4597,0.0800754
4155,-0.01,50.36,50.2539,50.3282,50.4545,0.905913,50.2899,50.459,0.0700754
4156,0,50.39,50.2573,50.3317,50.4542,0.909444,50.2899,50.4596,0.100079
4157,0,50.37,50.2573,50.3317,50.4538,0.90709,50.2934,50.4619,0.0766116
4158,0,50.37,50.2573,50.3317,50.4534,0.90709,50.2934,50.4616,0.0766116
4159,0,50.37,50.2573,50.3317,50.453,0.90709,50.2934,50.4612,0.0766116
4160,0.01,50.38,50.2607,50.3352,50.4526,0.908268,50.2934,50.4611,0.0866116
4161,0,50.37,50.2573,50.3318,50.4522,0.90709,50.2969,50.4638,0.0731441
4162,0.01,50.39,50.2607,50.3352,50.4519,0.909444,50.2934,50.4607,0.0966116
4163,-0.01,50.36,50.2539,50.3284,50.4514,0.905913,50.2969,50.4627,0.0631441
4164,0,50.37,50.2573,50.3318,50.4511,0.90709,50.2899,50.456,0.0800754
4165,0.01,50.38,50.2607,50.3353,50.4507,0.908268,50.2934,50.4593,0.0866116
4166,0,50.37,50.2573,50.3319,50.4503,0.90709,50.2969,50.4619,0.0731441
4167,0.01,50.39,50.2608,50.3353,50.45,0.909444,50.2934,50.4589,0.0966078
4168,0,50.36,50.2573,50.3319,50.4496,0.905913,50.2969,50.4609,0.0631441
4169,0,50.37,50.2573,50.3319,50.4492,0.90709,50.2934,50.4575,0.0766078
4170,0,50.37,50.2573,50.3319,50.4488,0.90709,50.2934,50.4571,0.0766078
4171,0,50.36,50.2573,50.3319,50.4484,0.905913,50.2934,50.4564,0.0666078
4172,0,50.36,50.2573,50.332,50.448,0.905913,50.2934,50.456,0.0666078
4173,0,50.36,50.2573,50.332,50.4475,0.905913,50.2934,50.4556,0.0666078
4174,0,50.37,50.2573,50.332,50.4472,0.90709,50.2934,50.4555,0.0766078
4175,0.01,50.39,50.2608,50.3355,50.4469,0.909444,50.2934,50.4558,0.0966078
4176,0,50.37,50.2573,50.332,50.4465,0.90709,50.2969,50.4582,0.0731403
4177,0,50.36,50.2573,50.332,50.4461,0.905913,50.2934,50.4542,0.0666078
4178,0,50.37,50.2573,50.3321,50.4457,0.90709,50.2934,50.4541,0.0766078
4179,0,50.36,50.2573,50.3321,50.4453,0.905913,50.2934,50.4534,0.0666078
4180,0,50.36,50.2573,50.3321,50.4449,0.905913,50.2934,50.453,0.0666078
4181,-0.01,50.36,50.2539,50.3286,50.4445,0.905913,50.2934,50.4526,0.0666078
4182,0,50.36,50.2573,50.3321,50.4441,0.905913,50.2899,50.4489,0.0700716
4183,0,50.37,50.2573,50.3321,50.4437,0.90709,50.2934,50.4522,0.0766078
4184,0,50.36,50.2573,50.3321,50.4433,0.905913,50.2934,50.4515,0.0666078
4185,-0.01,50.36,50.2539,50.3287,50.4429,0.905913,50.2934,50.4511,0.0666078
4186,-0.01,50.37,50.2539,50.3287,50.4426,0.90709,50.2899,50.4477,0.0800754
4187,0,50.37,50.2573,50.3322,50.4423,0.90709,50.2899,50.4474,0.0800754
4188,0,50.37,50.2573,50.3322,50.4419,0.90709,50.2934,50.4504,0.0766116
4189,0,50.37,50.2573,50.3322,50.4415,0.90709,50.2934,50.4501,0.0766116
4190,-0.01,50.37,50.2539,50.3288,50.4412,0.90709,50.2934,50.4497,0.0766116
4191,-0.01,50.36,50.2539,50.3288,50.4408,0.905913,50.2899,50.4457,0.0700792
4192,0,50.36,50.2573,50.3322,50.4404,0.905913,50.2899,50.4453,0.0700792
4193,0,50.39,50.2573,50.3323,50.4402,0.909444,50.2934,50.4493,0.0966154
4194,0,50.36,50.2573,50.3323,50.4398,0.905913,50.2934,50.4481,0.0666154
4195,0,50.36,50.2573,50.3323,50.4394,0.905913,50.2934,50.4477,0.0666154
4196,0.01,50.39,50.2607,50.3358,50.4392,0.909444,50.2934,50.4483,0.0966154
4197,-0.01,50.37,50.2539,50.3289,50.4388,0.90709,50.2969,50.4508,0.0731479
4198,0,50.38,50.2573,50.3324,50.4385,0.908268,50.2899,50.4441,0.0900792
4199,0,50.36,50.2573,50.3324,50.4381,0.905913,50.2934,50.4465,0.0666154
4200,0,50.39,50.2573,50.3324,50.4379,0.909444,50.2934,50.4471,0.0966154
4201,0,50.38,50.2573,50.3324,50.4376,0.908268,50.2934,50.4465,0.0866155
4202,-0.01,50.36,50.2539,50.329,50.4372,0.905913,50.2934,50.4456,0.0666154
4203,0,50.36,50.2573,50.3324,50.4369,0.905913,50.2899,50.4419,0.0700792
