N,I_Real,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear
1,0,51.17,51.1122,51.169,51.1586,0.996902,51.2023,51.1706,0.0323354
2,0,51.17,51.1122,51.1695,51.1583,0.996902,51.2023,51.1703,0.0323354
3,0,51.17,51.1122,51.1697,51.1583,0.996902,51.2023,51.1702,0.0323354
4,0,51.17,51.1122,51.1698,51.1582,0.996902,51.2023,51.1701,0.0323354
5,0,51.17,51.1122,51.1698,51.1582,0.996902,51.2023,51.1701,0.0323354
6,0.01,51.2,51.1157,51.1777,51.1632,1.00001,51.2023,51.1751,0.00233536
7,-0.01,51.17,51.1088,51.1707,51.1619,0.996902,51.2058,51.1773,0.0358029
8,0,51.2,51.1122,51.1773,51.1656,1.00001,51.1989,51.1741,0.0011322
9,0,51.2,51.1122,51.1798,51.1681,1.00001,51.2023,51.18,0.00233536
10,0,51.17,51.1122,51.1788,51.1671,0.996902,51.2023,51.179,0.0323354
11,-0.01,51.17,51.1088,51.1749,51.1663,0.996902,51.2023,51.1782,0.0323354
12,-0.01,51.17,51.1088,51.1745,51.1659,0.996902,51.1989,51.1744,0.0288678
13,0,51.17,51.1122,51.1774,51.1656,0.996902,51.1989,51.174,0.028864
14,0,51.17,51.1122,51.1769,51.165,0.996902,51.2023,51.1769,0.0323315
15,0,51.17,51.1122,51.1764,51.1646,0.996902,51.2023,51.1765,0.0323315
16,0.01,51.2,51.1157,51.1811,51.166,1.00001,51.2023,51.178,0.00233154
17,0,51.17,51.1122,51.1772,51.1654,0.996902,51.2058,51.1807,0.0357991
18,0.01,51.2,51.1157,51.1817,51.1666,1.00001,51.2023,51.1786,0.00233154
19,0.01,51.2,51.1157,51.1826,51.1676,1.00001,51.2058,51.183,0.0057991
20,0.01,51.2,51.1157,51.1834,51.1684,1.00001,51.2058,51.1838,0.00580292
21,0.01,51.2,51.1157,51.1841,51.1692,1.00001,51.2058,51.1846,0.00580292
22,0,51.17,51.1122,51.1802,51.1685,0.996902,51.2058,51.1839,0.0358029
23,0.01,51.2,51.1157,51.1844,51.1694,1.00001,51.2023,51.1813,0.00233917
24,-0.01,51.17,51.1088,51.1772,51.1688,0.996902,51.2058,51.1842,0.0358067
25,-0.01,51.17,51.1088,51.1769,51.1685,0.996902,51.1989,51.1769,0.0288754
26,-0.01,51.17,51.1088,51.1767,51.1682,0.996902,51.1989,51.1767,0.0288716
27,0,51.17,51.1122,51.1798,51.168,0.996902,51.1989,51.1764,0.0288716
28,-0.01,51.17,51.1088,51.1761,51.1676,0.996902,51.2023,51.1795,0.0323354
29,-0.01,51.19,51.1088,51.1766,51.1681,0.99898,51.1989,51.1766,0.0088678
30,0,51.17,51.1122,51.1797,51.1679,0.996902,51.1989,51.1763,0.0288678
31,-0.01,51.17,51.1088,51.1761,51.1675,0.996902,51.2023,51.1795,0.0323315
32,-0.01,51.17,51.1088,51.1759,51.1674,0.996902,51.1989,51.1758,0.028864
33,0,51.17,51.1122,51.1791,51.1672,0.996902,51.1989,51.1756,0.028864
34,0,51.17,51.1122,51.1789,51.1669,0.996902,51.2023,51.1788,0.0323277
35,0,51.2,51.1122,51.1794,51.1675,1.00001,51.2023,51.1795,0.00232773
36,-0.01,51.15,51.1088,51.1754,51.1667,0.994813,51.2023,51.1786,0.0523277
37,0.01,51.2,51.1157,51.1826,51.1674,1.00001,51.1989,51.1759,0.00113983
38,-0.01,51.15,51.1088,51.1752,51.1665,0.994813,51.2058,51.1819,0.0557953
39,-0.01,51.17,51.1088,51.1751,51.1664,0.996902,51.1989,51.1748,0.0288602
40,-0.01,51.19,51.1088,51.1754,51.1668,0.99898,51.1989,51.1752,0.00886017
41,0,51.17,51.1122,51.1787,51.1666,0.996902,51.1989,51.1751,0.0288602
42,-0.01,51.17,51.1088,51.1751,51.1664,0.996902,51.2023,51.1783,0.0323239
43,-0.01,51.17,51.1088,51.175,51.1663,0.996902,51.1989,51.1748,0.0288564
44,0,51.17,51.1122,51.1783,51.1662,0.996902,51.1989,51.1747,0.0288564
45,0,51.17,51.1122,51.1782,51.166,0.996902,51.2023,51.1779,0.0323201
46,0.01,51.2,51.1157,51.1819,51.1665,1.00001,51.2023,51.1785,0.0023201
47,-0.01,51.17,51.1088,51.175,51.1662,0.996902,51.2058,51.1816,0.0357877
48,0,51.19,51.1122,51.1786,51.1666,0.99898,51.1989,51.175,0.00885635
49,-0.01,51.17,51.1088,51.1751,51.1664,0.996902,51.2023,51.1783,0.0323201
50,0,51.17,51.1122,51.1784,51.1663,0.996902,51.1989,51.1747,0.0288525
51,0,51.17,51.1122,51.1783,51.1661,0.996902,51.2023,51.178,0.0323201
52,0,51.16,51.1122,51.178,51.1658,0.995859,51.2023,51.1777,0.0423201
53,0,51.17,51.1122,51.1779,51.1656,0.996902,51.2023,51.1776,0.0323201
54,-0.01,51.16,51.1088,51.1743,51.1653,0.995859,51.2023,51.1772,0.0423201
55,0.01,51.2,51.1157,51.1814,51.1658,1.00001,51.1989,51.1743,0.00114746
56,0,51.19,51.1122,51.1781,51.1659,0.99898,51.2058,51.1814,0.0157838
57,-0.01,51.17,51.1088,51.1746,51.1658,0.996902,51.2023,51.1777,0.0323201
58,-0.01,51.17,51.1088,51.1746,51.1657,0.996902,51.1989,51.1742,0.0288525
59,-0.01,51.17,51.1088,51.1745,51.1657,0.996902,51.1988,51.1741,0.0288487
60,0,51.2,51.1122,51.1782,51.1661,1.00001,51.1988,51.1746,0.00115128
61,-0.01,51.17,51.1088,51.1747,51.166,0.996902,51.2023,51.1779,0.0323125
62,-0.01,51.17,51.1088,51.1746,51.1659,0.996902,51.1988,51.1743,0.0288449
63,0,51.17,51.1122,51.178,51.1658,0.996902,51.1988,51.1743,0.0288449
64,-0.01,51.15,51.1088,51.1743,51.1654,0.994813,51.2023,51.1773,0.0523087
65,-0.01,51.19,51.1088,51.1745,51.1656,0.99898,51.1988,51.1741,0.00884109
66,-0.01,51.19,51.1088,51.1746,51.1659,0.99898,51.1988,51.1744,0.00884109
67,-15.1,48.42,45.9071,45.9926,51.125,0.693935,51.1988,51.1277,2.77884
68,-15.1,47.98,45.9048,46.0057,51.1524,0.660628,45.9672,45.9363,2.01278
69,-15.1,47.71,45.9025,46.0163,51.1754,0.644963,45.9645,45.9588,1.74547
70,-15.1,47.56,45.9001,46.0252,51.1958,0.638048,45.9618,45.9789,1.59816
71,-15.1,47.49,45.8978,46.0332,51.2147,0.63529,45.9592,45.9977,1.53085
72,-15.1,47.46,45.8954,46.0406,51.2329,0.634202,45.9565,46.0158,1.50354
73,-15.09,47.45,45.8965,46.0511,51.2504,0.633852,45.9538,46.0334,1.49622
74,-15.1,47.38,45.8908,46.0538,51.2666,0.631583,45.9546,46.0529,1.42544
75,-15.1,47.4,45.8884,46.0599,51.2827,0.632199,45.9484,46.0656,1.45159
76,-15.09,47.41,45.8895,46.0691,51.2986,0.632517,45.9457,46.0816,1.46427
77,-0.01,49.51,51.0854,51.2547,51.343,0.80574,45.9465,46.1348,3.56348
78,-0.01,49.75,51.0854,51.2462,51.321,0.833664,51.172,51.3256,1.42197
79,-0.03,49.84,51.0785,51.2317,51.301,0.844272,51.172,51.3058,1.33197
80,0,49.98,51.0888,51.2354,51.2836,0.860858,51.165,51.2818,1.18504
81,-0.01,50.03,51.0854,51.2258,51.2673,0.866796,51.1754,51.276,1.14543
82,-0.01,50.09,51.0854,51.2201,51.2523,0.873925,51.172,51.2577,1.08197
83,-0.01,50.13,51.0854,51.2149,51.2383,0.878677,51.172,51.2438,1.04197
84,-0.01,50.19,51.0854,51.2101,51.2255,0.885801,51.172,51.2311,0.981963
85,-0.01,50.22,51.0854,51.2057,51.2134,0.889359,51.172,51.219,0.951963
86,-0.01,50.27,51.0854,51.2016,51.2022,0.895283,51.172,51.2079,0.901959
87,-0.01,50.3,51.0854,51.1978,51.1917,0.898831,51.172,51.1975,0.871959
88,-0.01,50.31,51.0853,51.1942,51.1815,0.900013,51.172,51.1873,0.861955
89,0.01,50.37,51.0922,51.1978,51.1723,0.90709,51.172,51.1783,0.801955
90,0,50.36,51.0888,51.1912,51.1632,0.905913,51.1789,51.176,0.818886
91,0,50.41,51.0888,51.1883,51.1549,0.911795,51.1754,51.1644,0.765423
92,0,50.4,51.0888,51.1854,51.1467,0.91062,51.1754,51.1561,0.775423
93,0,50.41,51.0888,51.1828,51.1388,0.911795,51.1754,51.1482,0.765423
94,-0.01,50.43,51.0853,51.1768,51.1313,0.914142,51.1754,51.1408,0.745423
95,0,50.46,51.0888,51.1779,51.1243,0.917656,51.172,51.1304,0.711955
96,0,50.46,51.0888,51.1757,51.1174,0.917656,51.1754,51.127,0.715419
97,0,50.49,51.0888,51.1736,51.111,0.921162,51.1754,51.1206,0.685419
98,0,50.49,51.0888,51.1716,51.1047,0.921162,51.1754,51.1144,0.685419
99,0,50.52,51.0888,51.1697,51.0989,0.924659,51.1754,51.1086,0.655419
100,0,50.52,51.0888,51.1679,51.0932,0.924659,51.1754,51.1029,0.655419
101,0,50.53,51.0888,51.1662,51.0877,0.925823,51.1754,51.0974,0.645419
102,0,50.55,51.0888,51.1647,51.0825,0.928146,51.1754,51.0923,0.625419
103,-0.01,50.56,51.0853,51.1597,51.0775,0.929306,51.1754,51.0873,0.615419
104,0,50.56,51.0888,51.1617,51.0727,0.929306,51.172,51.079,0.611951
105,0,50.58,51.0888,51.1604,51.0681,0.931623,51.1754,51.0779,0.595419
106,-0.01,50.58,51.0853,51.1556,51.0636,0.931623,51.1754,51.0734,0.595419
107,-0.01,50.59,51.0853,51.1544,51.0593,0.932779,51.172,51.0657,0.581951
108,0,50.59,51.0888,51.1567,51.0551,0.932779,51.1719,51.0615,0.581948
109,-0.01,50.61,51.0853,51.1521,51.0511,0.935088,51.1754,51.061,0.565415
110,0,50.63,51.0888,51.1546,51.0474,0.937392,51.1719,51.0539,0.541947
111,0,50.62,51.0888,51.1535,51.0436,0.936241,51.1754,51.0535,0.555411
112,-0.01,50.64,51.0853,51.1492,51.0401,0.938542,51.1754,51.0501,0.535411
113,0,50.64,51.0888,51.1517,51.0366,0.938542,51.1719,51.0432,0.531944
114,-0.01,50.64,51.0853,51.1474,51.0332,0.938542,51.1754,51.0432,0.535411
115,-0.01,50.64,51.0853,51.1466,51.0299,0.938542,51.1719,51.0364,0.531944
116,-0.01,50.65,51.0853,51.1458,51.0268,0.93969,51.1719,51.0333,0.521944
117,-0.01,50.67,51.0853,51.1451,51.0238,0.941983,51.1719,51.0304,0.50194
118,-0.03,50.67,51.0784,51.1375,51.0209,0.941983,51.1719,51.0275,0.50194
119,4.95,53.71,52.7951,52.8553,51.0423,1.10842,51.165,51.0562,2.545
120,7.35,59.71,53.6231,53.6916,51.0987,-1.62566,52.8915,52.8584,6.81847
121,6.13,59.76,53.2037,53.2807,51.1495,-1.67672,53.7245,53.7373,6.03553
122,5.64,59.77,53.0358,53.1212,51.2039,-1.68701,53.3028,53.3713,6.46719
123,5.37,59.74,52.9436,53.0372,51.2598,-1.65623,53.134,53.2582,6.60598
124,5.15,59.79,52.8686,52.9702,51.3173,-1.70764,53.0414,53.2231,6.74859
125,4.98,59.76,52.8108,52.9201,51.3756,-1.67672,52.9661,53.2056,6.79391
126,4.8,59.73,52.7495,52.8663,51.4348,-1.64602,52.9081,53.2062,6.82193
127,-0.01,52.44,51.0922,51.2103,51.4297,1.09927,52.8465,53.1018,0.40655
128,-0.01,52.36,51.0922,51.2115,51.4378,1.09505,51.1798,51.4514,1.18019
129,-0.01,52.3,51.0922,51.2125,51.4453,1.09165,51.1798,51.4586,1.12019
130,-0.01,52.22,51.0922,51.2135,51.452,1.08681,51.1798,51.4648,1.04019
131,0,52.18,51.0956,51.2178,51.4582,1.08426,51.1798,51.4709,1.00019
132,-0.01,52.14,51.0922,51.2151,51.464,1.08164,51.1833,51.4799,0.95673
133,0,52.12,51.0956,51.2193,51.4695,1.08029,51.1798,51.4819,0.940198
134,-0.01,52.05,51.0922,51.2165,51.4744,1.07543,51.1833,51.4898,0.866734
135,-0.01,52.03,51.0922,51.2171,51.479,1.074,51.1798,51.4909,0.850198
136,0,52,51.0956,51.2212,51.4833,1.07181,51.1798,51.495,0.820202
137,-0.01,51.95,51.0922,51.2182,51.4871,1.06808,51.1833,51.502,0.766734
138,-0.01,51.94,51.0922,51.2187,51.4908,1.06732,51.1798,51.5022,0.760202
139,-0.01,51.89,51.0922,51.2191,51.494,1.06344,51.1798,51.5052,0.710206
140,-0.03,51.88,51.0853,51.2126,51.4971,1.06266,51.1798,51.5082,0.700206
141,0,51.87,51.0956,51.2234,51.5001,1.06186,51.1729,51.5043,0.697141
142,-0.01,51.87,51.0922,51.2203,51.503,1.06186,51.1833,51.5175,0.686746
143,-0.01,51.83,51.0922,51.2206,51.5056,1.05865,51.1798,51.5164,0.650213
144,0,51.81,51.0956,51.2243,51.5079,1.05702,51.1798,51.5186,0.630217
145,0,51.84,51.0956,51.2246,51.5105,1.05946,51.1833,51.5248,0.65675
146,-0.01,51.77,51.0922,51.2214,51.5124,1.0537,51.1833,51.5263,0.58675
147,0,51.75,51.0956,51.2251,51.5142,1.05202,51.1798,51.5246,0.570217
148,0,51.78,51.0956,51.2253,51.5162,1.05454,51.1832,51.5302,0.596753
149,0,51.72,51.0956,51.2255,51.5177,1.04947,51.1832,51.5313,0.536753
150,0,51.71,51.0956,51.2257,51.5191,1.04861,51.1832,51.5326,0.526753
151,0,51.69,51.0956,51.2259,51.5203,1.04688,51.1832,51.5337,0.506753
152,0.01,51.7,51.0991,51.2295,51.5215,1.04774,51.1832,51.535,0.516753
153,0,51.66,51.0956,51.2262,51.5225,1.04425,51.1867,51.5391,0.473286
154,0,51.65,51.0956,51.2263,51.5233,1.04337,51.1833,51.5365,0.46675
155,0,51.66,51.0956,51.2264,51.5243,1.04425,51.1833,51.5375,0.47675
156,0,51.62,51.0956,51.2265,51.5249,1.0407,51.1833,51.5378,0.43675
157,-0.01,51.6,51.0922,51.2232,51.5253,1.0389,51.1833,51.5381,0.41675
158,0,51.6,51.0956,51.2267,51.5258,1.0389,51.1798,51.5352,0.420217
159,0,51.59,51.0956,51.2268,51.5262,1.03799,51.1832,51.5389,0.406753
160,-0.01,51.55,51.0922,51.2234,51.5263,1.03433,51.1832,51.5387,0.366753
161,0.01,51.6,51.0991,51.2304,51.5267,1.0389,51.1798,51.5361,0.420217
162,0.01,51.58,51.0991,51.2304,51.527,1.03708,51.1867,51.5431,0.393286
163,0,51.54,51.0956,51.2271,51.527,1.03341,51.1867,51.5428,0.353286
164,0,51.53,51.0956,51.2271,51.5269,1.03248,51.1833,51.5392,0.34675
165,0,51.51,51.0956,51.2271,51.5267,1.03061,51.1833,51.5388,0.32675
166,0,51.51,51.0956,51.2272,51.5265,1.03061,51.1833,51.5386,0.32675
167,0,51.5,51.0956,51.2272,51.5262,1.02967,51.1833,51.5383,0.31675
168,0,51.48,51.0956,51.2272,51.5258,1.02779,51.1833,51.5377,0.29675
169,0,51.52,51.0956,51.2272,51.5257,1.03155,51.1833,51.5379,0.33675
170,-0.01,51.48,51.0922,51.2238,51.5253,1.02779,51.1833,51.5372,0.29675
171,0.01,51.51,51.0991,51.2307,51.5252,1.03061,51.1798,51.5339,0.330217
172,-0.01,51.47,51.0922,51.2239,51.5247,1.02684,51.1867,51.5399,0.283286
173,0,51.45,51.0956,51.2273,51.5241,1.02493,51.1798,51.5323,0.270217
174,0.01,51.47,51.0991,51.2308,51.5237,1.02684,51.1832,51.5355,0.286753
175,-0.01,51.45,51.0922,51.2239,51.5231,1.02493,51.1867,51.5382,0.263286
176,0,51.44,51.0956,51.2273,51.5225,1.02397,51.1798,51.5306,0.260217
177,0.01,51.45,51.0991,51.2308,51.522,1.02493,51.1832,51.5336,0.266753
178,0,51.43,51.0956,51.2273,51.5213,1.02301,51.1867,51.5362,0.243286
179,0,51.41,51.0956,51.2273,51.5205,1.02107,51.1833,51.5318,0.22675
180,0,51.41,51.0956,51.2273,51.5197,1.02107,51.1833,51.531,0.22675
181,-0.01,51.37,51.0922,51.2239,51.5187,1.01717,51.1833,51.5296,0.18675
182,0.01,51.42,51.0991,51.2308,51.518,1.02204,51.1798,51.526,0.240217
183,-0.01,51.37,51.0922,51.2239,51.517,1.01717,51.1867,51.5314,0.183286
184,0.01,51.42,51.0991,51.2308,51.5163,1.02204,51.1798,51.5243,0.240217
185,0,51.37,51.0956,51.2273,51.5154,1.01717,51.1867,51.5297,0.183286
186,0,51.37,51.0956,51.2273,51.5144,1.01717,51.1833,51.5253,0.18675
187,-0.01,51.37,51.0922,51.2238,51.5134,1.01717,51.1833,51.5244,0.18675
188,-0.01,51.37,51.0922,51.2238,51.5125,1.01717,51.1798,51.52,0.190217
189,-0.01,51.35,51.0922,51.2238,51.5115,1.01519,51.1798,51.5188,0.170217
190,-0.01,51.35,51.0922,51.2238,51.5105,1.01519,51.1798,51.5177,0.170221
191,-0.03,51.33,51.0853,51.2169,51.5093,1.01321,51.1798,51.5164,0.150225
192,-0.01,51.35,51.0922,51.2238,51.5084,1.01519,51.1728,51.5088,0.17716
193,-0.01,51.34,51.0922,51.2238,51.5073,1.0142,51.1798,51.5145,0.160229
194,0,51.36,51.0956,51.2272,51.5064,1.01618,51.1798,51.5138,0.180232
195,0,51.32,51.0956,51.2272,51.5053,1.01221,51.1832,51.5157,0.136765
196,-0.01,51.32,51.0922,51.2237,51.5041,1.01221,51.1832,51.5145,0.136765
197,-0.01,51.31,51.0922,51.2237,51.503,1.01121,51.1798,51.5098,0.130232
198,-0.01,51.31,51.0922,51.2237,51.5018,1.01121,51.1798,51.5087,0.130236
199,-0.01,51.31,51.0922,51.2237,51.5007,1.01121,51.1798,51.5075,0.130236
200,0,51.33,51.0956,51.2271,51.4996,1.01321,51.1798,51.5067,0.15024
201,-0.01,51.29,51.0922,51.2237,51.4984,1.0092,51.1832,51.5085,0.106772
202,-0.01,51.31,51.0922,51.2236,51.4973,1.01121,51.1798,51.5041,0.13024
203,-0.01,51.29,51.0922,51.2236,51.4961,1.0092,51.1798,51.5027,0.110244
204,0,51.29,51.0956,51.2271,51.4949,1.0092,51.1798,51.5015,0.110244
205,0,51.29,51.0956,51.2271,51.4937,1.0092,51.1832,51.5037,0.10678
206,0,51.28,51.0956,51.2271,51.4924,1.00819,51.1832,51.5024,0.0967801
207,0.01,51.3,51.099,51.2305,51.4913,1.01021,51.1832,51.5015,0.11678
208,-0.03,51.25,51.0853,51.2167,51.4899,1.00515,51.1867,51.503,0.0633125
209,0,51.28,51.0956,51.227,51.4888,1.00819,51.1728,51.4884,0.107179
210,0.01,51.3,51.099,51.2305,51.4877,1.01021,51.1832,51.4978,0.116784
211,0,51.26,51.0956,51.227,51.4864,1.00617,51.1867,51.4995,0.0733163
212,0,51.26,51.0956,51.227,51.4851,1.00617,51.1832,51.4948,0.0767801
213,0,51.26,51.0956,51.227,51.4839,1.00617,51.1832,51.4935,0.0767801
214,0,51.25,51.0956,51.227,51.4826,1.00515,51.1832,51.4921,0.0667801
215,-0.01,51.25,51.0922,51.2235,51.4813,1.00515,51.1832,51.4908,0.0667801
216,0,51.27,51.0956,51.227,51.4801,1.00718,51.1798,51.4865,0.0902477
217,0,51.25,51.0956,51.227,51.4789,1.00515,51.1832,51.4884,0.0667839
218,0,51.25,51.0956,51.227,51.4776,1.00515,51.1832,51.4871,0.0667839
219,0,51.23,51.0956,51.227,51.4763,1.0031,51.1832,51.4856,0.0467839
220,-0.01,51.23,51.0922,51.2235,51.4749,1.0031,51.1832,51.4842,0.0467839
221,0.01,51.26,51.099,51.2304,51.4738,1.00617,51.1798,51.48,0.0802476
222,0,51.25,51.0956,51.227,51.4726,1.00515,51.1867,51.4855,0.0633163
223,-0.01,51.22,51.0922,51.2235,51.4712,1.00208,51.1832,51.4804,0.0367839
224,0,51.26,51.0956,51.227,51.4701,1.00617,51.1798,51.4763,0.0802476
225,0.01,51.26,51.099,51.2304,51.469,1.00617,51.1832,51.4786,0.0767839
226,0.01,51.24,51.099,51.2304,51.4678,1.00413,51.1867,51.4806,0.0533163
227,-0.01,51.21,51.0922,51.2235,51.4664,1.00105,51.1867,51.4788,0.0233163
228,0,51.22,51.0956,51.227,51.4652,1.00208,51.1798,51.4708,0.0402476
229,-0.01,51.22,51.0922,51.2235,51.4639,1.00208,51.1832,51.473,0.0367839
230,0,51.2,51.0956,51.227,51.4625,1.00001,51.1798,51.468,0.0202476
231,0,51.22,51.0956,51.227,51.4613,1.00208,51.1832,51.4704,0.0367839
232,-0.01,51.2,51.0922,51.2235,51.4599,1.00001,51.1832,51.4688,0.0167839
233,0,51.2,51.0956,51.227,51.4586,1.00001,51.1797,51.464,0.0202515
234,0.01,51.23,51.099,51.2304,51.4575,1.0031,51.1832,51.4667,0.0467839
235,0,51.2,51.0956,51.227,51.4562,1.00001,51.1867,51.4684,0.0133202
236,0,51.2,51.0956,51.227,51.4549,1.00001,51.1832,51.4637,0.0167839
237,-0.01,51.16,51.0922,51.2235,51.4534,0.995859,51.1832,51.4617,0.0232161
238,0.01,51.23,51.099,51.2304,51.4523,1.0031,51.1797,51.458,0.0502515
239,-0.01,51.19,51.0922,51.2236,51.451,0.99898,51.1867,51.463,0.00332016
240,0,51.2,51.0956,51.227,51.4497,1.00001,51.1797,51.4551,0.0202515
241,0,51.19,51.0956,51.227,51.4484,0.99898,51.1832,51.4571,0.0067839
242,-0.01,51.19,51.0922,51.2236,51.4472,0.99898,51.1832,51.4558,0.0067839
243,0,51.19,51.0956,51.227,51.4459,0.99898,51.1797,51.4511,0.0102515
244,-0.01,51.19,51.0921,51.2236,51.4447,0.99898,51.1832,51.4533,0.00678772
245,-0.01,51.16,51.0921,51.2236,51.4433,0.995859,51.1797,51.4481,0.0197447
246,-0.01,51.19,51.0921,51.2236,51.4421,0.99898,51.1797,51.4473,0.0102553
247,0,51.17,51.0956,51.2271,51.4408,0.996902,51.1797,51.4457,0.00974091
248,0,51.17,51.0956,51.2271,51.4395,0.996902,51.1832,51.4478,0.0132085
249,-0.01,51.17,51.0921,51.2236,51.4382,0.996902,51.1832,51.4465,0.0132085
250,0,51.2,51.0956,51.2271,51.437,1.00001,51.1797,51.4423,0.0202591
251,0.01,51.2,51.099,51.2305,51.4359,1.00001,51.1832,51.4446,0.0167953
252,0,51.17,51.0956,51.2271,51.4346,0.996902,51.1867,51.4463,0.0166722
253,-0.01,51.19,51.0921,51.2237,51.4335,0.99898,51.1832,51.442,0.00679153
254,0,51.17,51.0956,51.2271,51.4322,0.996902,51.1797,51.4371,0.00974091
255,0,51.17,51.0956,51.2271,51.431,0.996902,51.1832,51.4392,0.0132047
256,0,51.17,51.0956,51.2272,51.4298,0.996902,51.1832,51.438,0.0132047
257,0,51.17,51.0956,51.2272,51.4285,0.996902,51.1832,51.4368,0.0132047
258,0,51.16,51.0956,51.2272,51.4273,0.995859,51.1832,51.4354,0.0232047
259,-0.01,51.15,51.0921,51.2238,51.426,0.994813,51.1832,51.4339,0.0332047
260,0,51.16,51.0956,51.2272,51.4248,0.995859,51.1797,51.4294,0.0197371
261,0,51.16,51.0956,51.2272,51.4235,0.995859,51.1832,51.4316,0.0232047
262,0,51.16,51.0956,51.2272,51.4223,0.995859,51.1832,51.4304,0.0232047
263,-0.01,51.13,51.0921,51.2238,51.421,0.992714,51.1832,51.4286,0.0532047
264,0.01,51.17,51.099,51.2307,51.4198,0.996902,51.1797,51.4246,0.00973709
265,-0.01,51.16,51.0921,51.2238,51.4186,0.995859,51.1867,51.4301,0.0266684
266,0,51.16,51.0956,51.2273,51.4175,0.995859,51.1797,51.4221,0.0197371
267,0.01,51.17,51.099,51.2308,51.4163,0.996902,51.1832,51.4245,0.0132008
268,-0.01,51.16,51.0921,51.2239,51.4151,0.995859,51.1867,51.4266,0.0266684
269,0,51.16,51.0956,51.2273,51.414,0.995859,51.1797,51.4186,0.0197371
270,-0.01,51.16,51.0921,51.2239,51.4128,0.995859,51.1832,51.4209,0.0232008
271,-0.01,51.14,51.0921,51.2239,51.4116,0.993765,51.1797,51.4159,0.0397333
272,0,51.16,51.0956,51.2274,51.4105,0.995859,51.1797,51.4151,0.0197333
273,-0.03,51.12,51.0852,51.2171,51.4092,0.991661,51.1832,51.4166,0.063197
274,0,51.14,51.0956,51.2274,51.408,0.993765,51.1728,51.4055,0.0327982
275,-0.01,51.14,51.0921,51.224,51.4068,0.993765,51.1832,51.4145,0.0431932
276,-0.01,51.14,51.0921,51.224,51.4057,0.993765,51.1797,51.4099,0.0397256
277,-0.01,51.13,51.0921,51.224,51.4045,0.992714,51.1797,51.4086,0.0497256
278,-0.01,51.14,51.0921,51.2241,51.4033,0.993765,51.1797,51.4076,0.0397218
279,-0.01,51.16,51.0921,51.2241,51.4022,0.995859,51.1797,51.4068,0.0197218
280,0,51.13,51.0956,51.2275,51.401,0.992714,51.1797,51.4051,0.049718
281,-0.01,51.13,51.0921,51.2241,51.3998,0.992714,51.1832,51.4073,0.0531856
282,0,51.13,51.0956,51.2276,51.3987,0.992714,51.1797,51.4027,0.049718
283,-0.01,51.1,51.0921,51.2242,51.3974,0.989546,51.1832,51.4043,0.0831818
284,-0.01,51.14,51.0921,51.2242,51.3962,0.993765,51.1797,51.4005,0.0397142
285,0.01,51.15,51.099,51.2311,51.3952,0.994813,51.1797,51.3996,0.0297142
286,0,51.14,51.0956,51.2277,51.3941,0.993765,51.1866,51.4051,0.0466455
287,0,51.13,51.0956,51.2277,51.3929,0.992714,51.1832,51.4004,0.0531818
288,0,51.13,51.0956,51.2277,51.3918,0.992714,51.1832,51.3992,0.0531818
289,-0.01,51.13,51.0921,51.2243,51.3906,0.992714,51.1832,51.3981,0.0531818
290,-0.01,51.13,51.0921,51.2243,51.3895,0.992714,51.1797,51.3935,0.0497142
291,0,51.13,51.0956,51.2278,51.3884,0.992714,51.1797,51.3924,0.0497104
292,-0.01,51.13,51.0921,51.2243,51.3873,0.992714,51.1832,51.3947,0.0531779
293,0,51.11,51.0956,51.2278,51.3861,0.990605,51.1797,51.3898,0.0697104
294,0,51.13,51.0956,51.2278,51.385,0.992714,51.1832,51.3924,0.0531741
295,0,51.13,51.0956,51.2278,51.3839,0.992714,51.1832,51.3913,0.0531741
296,0,51.11,51.0956,51.2279,51.3827,0.990605,51.1832,51.3898,0.0731741
297,0,51.13,51.0956,51.2279,51.3816,0.992714,51.1832,51.3891,0.0531741
298,-0.01,51.13,51.0921,51.2245,51.3806,0.992714,51.1832,51.388,0.0531741
299,0,51.11,51.0956,51.2279,51.3794,0.990605,51.1797,51.3831,0.0697066
300,0,51.13,51.0956,51.228,51.3784,0.992714,51.1832,51.3858,0.0531741
301,0,51.11,51.0956,51.228,51.3772,0.990605,51.1832,51.3843,0.0731741
302,-0.03,51.1,51.0852,51.2177,51.376,0.989546,51.1832,51.3829,0.0831741
303,-0.01,51.13,51.0921,51.2246,51.375,0.992714,51.1728,51.3722,0.0427715
304,0,51.13,51.0956,51.228,51.374,0.992714,51.1797,51.378,0.0497028
305,-0.01,51.09,51.0921,51.2246,51.3728,0.988485,51.1832,51.3795,0.0931665
306,-0.01,51.09,51.0921,51.2246,51.3716,0.988485,51.1797,51.3749,0.0896989
307,0,51.14,51.0956,51.2281,51.3707,0.993765,51.1797,51.3748,0.0396989
308,0,51.11,51.0956,51.2281,51.3696,0.990605,51.1832,51.3766,0.0731627
309,0,51.11,51.0956,51.2282,51.3685,0.990605,51.1832,51.3755,0.0731627
310,0,51.11,51.0956,51.2282,51.3674,0.990605,51.1832,51.3744,0.0731627
311,-0.01,51.11,51.0921,51.2248,51.3663,0.990605,51.1832,51.3733,0.0731627
