0,51.17
0,51.17
0,51.17
0,51.17
0,51.17
0.01,51.2
-0.01,51.17
0,51.2
0,51.2
0,51.17
-0.01,51.17
-0.01,51.17
0,51.17
0,51.17
0,51.17
0.01,51.2
0,51.17
0.01,51.2
0.01,51.2
0.01,51.2
0.01,51.2
0,51.17
0.01,51.2
-0.01,51.17
-0.01,51.17
-0.01,51.17
0,51.17
-0.01,51.17
-0.01,51.19
0,51.17
-0.01,51.17
-0.01,51.17
0,51.17
0,51.17
0,51.2
-0.01,51.15
0.01,51.2
-0.01,51.15
-0.01,51.17
-0.01,51.19
0,51.17
-0.01,51.17
-0.01,51.17
0,51.17
0,51.17
0.01,51.2
-0.01,51.17
0,51.19
-0.01,51.17
0,51.17
0,51.17
0,51.16
0,51.17
-0.01,51.16
0.01,51.2
0,51.19
-0.01,51.17
-0.01,51.17
-0.01,51.17
0,51.2
-0.01,51.17
-0.01,51.17
0,51.17
-0.01,51.15
-0.01,51.19
-0.01,51.19
-15.1,48.42
-15.1,47.98
-15.1,47.71
-15.1,47.56
-15.1,47.49
-15.1,47.46
-15.09,47.45
-15.1,47.38
-15.1,47.4
-15.09,47.41
-0.01,49.51
-0.01,49.75
-0.03,49.84
0,49.98
-0.01,50.03
-0.01,50.09
-0.01,50.13
-0.01,50.19
-0.01,50.22
-0.01,50.27
-0.01,50.3
-0.01,50.31
0.01,50.37
0,50.36
0,50.41
0,50.4
0,50.41
-0.01,50.43
0,50.46
0,50.46
0,50.49
0,50.49
0,50.52
0,50.52
0,50.53
0,50.55
-0.01,50.56
0,50.56
0,50.58
-0.01,50.58
-0.01,50.59
0,50.59
-0.01,50.61
0,50.63
0,50.62
-0.01,50.64
0,50.64
-0.01,50.64
-0.01,50.64
-0.01,50.65
-0.01,50.67
-0.03,50.67
4.95,53.71
7.35,59.71
6.13,59.76
5.64,59.77
5.37,59.74
5.15,59.79
4.98,59.76
4.8,59.73
-0.01,52.44
-0.01,52.36
-0.01,52.3
-0.01,52.22
0,52.18
-0.01,52.14
0,52.12
-0.01,52.05
-0.01,52.03
0,52
-0.01,51.95
-0.01,51.94
-0.01,51.89
